trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,9.0,9.0,2.4,2.4,,4576.0
1.0,1.0,9.0,8.0,2.8,2.8,0.4,2176.0
1.0,1.0,9.0,7.0,3.8,3.8,1.0,7175.0
1.0,1.0,9.0,6.0,3.8,3.4,-0.4,4311.0
1.0,0.0,9.0,5.0,3.8,3.8,0.0,2264.0
1.0,1.0,9.0,4.0,4.1,4.1,0.3,2760.0
1.0,1.0,9.0,3.0,4.1,2.0,-2.1,1497.0
1.0,0.0,9.0,2.0,4.1,4.1,0.0,1455.0
1.0,0.0,9.0,1.0,4.1,4.1,0.0,2547.0
2.0,1.0,6.0,6.0,2.7,2.7,,4576.0
2.0,1.0,6.0,5.0,2.7,2.4,-0.3,2176.0
2.0,1.0,6.0,4.0,2.7,2.7,0.0,7175.0
2.0,1.0,6.0,3.0,4.3,4.3,1.6,4311.0
2.0,0.0,6.0,2.0,4.3,4.3,0.0,2264.0
2.0,0.0,6.0,1.0,4.3,4.3,0.0,2760.0
3.0,1.0,10.0,10.0,3.0,3.0,,4576.0
3.0,1.0,10.0,9.0,3.0,2.3,-0.7,2176.0
3.0,1.0,10.0,8.0,4.0,4.0,1.0,7175.0
3.0,1.0,10.0,7.0,4.0,3.3,-0.7,4311.0
3.0,1.0,10.0,6.0,4.0,2.7,-1.3,2264.0
3.0,0.0,10.0,5.0,4.0,4.0,0.0,2760.0
3.0,0.0,10.0,4.0,4.0,4.0,0.0,1497.0
3.0,0.0,10.0,3.0,4.0,4.0,0.0,1455.0
3.0,0.0,10.0,2.0,4.0,4.0,0.0,2547.0
3.0,0.0,10.0,1.0,4.0,4.0,0.0,6592.0
4.0,1.0,9.0,9.0,2.1,2.1,,4576.0
4.0,1.0,9.0,8.0,2.1,2.1,0.0,2176.0
4.0,1.0,9.0,7.0,2.5,2.5,0.4,7175.0
4.0,1.0,9.0,6.0,2.6,2.6,0.1,4311.0
4.0,1.0,9.0,5.0,4.7,4.7,2.1,2264.0
4.0,0.0,9.0,4.0,4.7,4.7,0.0,2760.0
4.0,0.0,9.0,3.0,4.7,4.7,0.0,1497.0
4.0,0.0,9.0,2.0,4.7,4.7,0.0,1455.0
4.0,0.0,9.0,1.0,4.7,4.7,0.0,2547.0
5.0,1.0,9.0,9.0,2.6,2.6,,4576.0
5.0,1.0,9.0,8.0,2.6,2.6,0.0,2176.0
5.0,1.0,9.0,7.0,2.9,2.9,0.3,7175.0
5.0,1.0,9.0,6.0,3.1,3.1,0.2,4311.0
5.0,1.0,9.0,5.0,3.5,3.5,0.4,2264.0
5.0,1.0,9.0,4.0,3.5,2.9,-0.6,2760.0
5.0,1.0,9.0,3.0,3.5,3.5,0.0,1497.0
5.0,1.0,9.0,2.0,3.5,2.7,-0.8,1455.0
5.0,1.0,9.0,1.0,3.5,3.3,-0.2,2547.0
6.0,1.0,5.0,5.0,2.7,2.7,,4576.0
6.0,1.0,5.0,4.0,3.1,3.1,0.4,2176.0
6.0,1.0,5.0,3.0,3.1,2.5,-0.6,7175.0
