trial_num,action,totaldays,daysleft,last_reward,muvalue,avereward,avereward_exploration,RT,stochasticity,stochasticity_exploration,gap,abs_gap,last_trial_average_reward,impulse
1.0,0.0,9.0,8.0,-2.1,-2.1,-2.1,-2.1,6807.0,0.0,0.0,,,0.0,0.0
1.0,1.0,9.0,7.0,-2.1,-2.1,-2.1,-2.1,10167.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,9.0,6.0,-2.9,-2.1,-2.3666666666666667,-2.3666666666666667,2007.0,0.3771236166328253,0.3771236166328253,-0.8,0.8,0.0,0.0
1.0,0.0,9.0,5.0,-2.1,-2.1,-2.3,-2.3666666666666667,1344.0,0.34641016151377535,0.3771236166328253,0.0,0.0,0.0,0.0
1.0,0.0,9.0,4.0,-2.1,-2.1,-2.26,-2.3666666666666667,952.0,0.31999999999999995,0.3771236166328253,0.0,0.0,0.0,0.0
1.0,0.0,9.0,3.0,-2.1,-2.1,-2.233333333333333,-2.3666666666666667,1049.0,0.2981423969999719,0.3771236166328253,0.0,0.0,0.0,0.0
1.0,0.0,9.0,2.0,-2.1,-2.1,-2.214285714285714,-2.3666666666666667,888.0,0.279941684889506,0.3771236166328253,0.0,0.0,0.0,0.0
1.0,0.0,9.0,1.0,-2.1,-2.1,-2.1999999999999997,-2.3666666666666667,991.0,0.264575131106459,0.3771236166328253,0.0,0.0,0.0,0.0
2.0,1.0,8.0,7.0,-3.0,-3.0,-3.0,-3.0,2392.0,0.0,0.0,,,-2.3666666666666667,0.0
2.0,1.0,8.0,6.0,-3.5,-3.0,-3.25,-3.25,1448.0,0.9921281075638275,0.9921281075638275,-0.5,0.5,-2.3666666666666667,1.0
2.0,1.0,8.0,5.0,-2.8,-2.8,-3.1,-3.1,1441.0,0.8316649966583098,0.8316649966583098,0.2,0.2,-2.3666666666666667,1.0
2.0,1.0,8.0,4.0,-3.4,-2.8,-3.1750000000000003,-3.1750000000000003,1223.0,0.8614890954263216,0.8614890954263216,-0.6,0.6,-2.3666666666666667,1.0
2.0,1.0,8.0,3.0,-3.0,-2.8,-3.14,-3.14,1335.0,0.8045584414536249,0.8045584414536249,-0.2,0.2,-2.3666666666666667,1.0
2.0,1.0,8.0,2.0,-2.7,-2.7,-3.066666666666667,-3.066666666666667,4866.0,0.7310570733153771,0.7310570733153771,0.1,0.1,-2.3666666666666667,1.0
2.0,1.0,8.0,1.0,-3.4,-2.7,-3.1142857142857143,-3.1142857142857143,1494.0,0.7451800905465327,0.7451800905465327,-0.7,0.7,-2.3666666666666667,1.0
3.0,0.0,6.0,5.0,-2.3,-2.3,-2.3,-2.3,2303.0,0.0,0.0,,,-3.125,0.0
3.0,0.0,6.0,4.0,-2.3,-2.3,-2.3,-2.3,977.0,0.5955978862498281,0.0,0.0,0.0,-3.125,0.0
3.0,0.0,6.0,3.0,-2.3,-2.3,-2.3,-2.3,1111.0,0.5805170109479998,0.0,0.0,0.0,-3.125,0.0
3.0,0.0,6.0,2.0,-2.3,-2.3,-2.3,-2.3,896.0,0.5665265933320174,0.0,0.0,0.0,-3.125,0.0
3.0,0.0,6.0,1.0,-2.3,-2.3,-2.3,-2.3,880.0,0.5535012523595917,0.0,0.0,0.0,-3.125,0.0
4.0,0.0,9.0,8.0,-2.0,-2.0,-2.0,-2.0,1744.0,0.0,0.0,,,-2.3,0.0
4.0,0.0,9.0,7.0,-2.0,-2.0,-2.0,-2.0,1041.0,0.6977105417004963,0.0,0.0,0.0,-2.3,0.0
4.0,0.0,9.0,6.0,-2.0,-2.0,-2.0,-2.0,847.0,0.6841614744173505,0.0,0.0,0.0,-2.3,0.0
4.0,0.0,9.0,5.0,-2.0,-2.0,-2.0,-2.0,952.0,0.6713722817787019,0.0,0.0,0.0,-2.3,0.0
4.0,0.0,9.0,4.0,-2.0,-2.0,-2.0,-2.0,688.0,0.6592744930170263,0.0,0.0,0.0,-2.3,0.0
4.0,0.0,9.0,3.0,-2.0,-2.0,-2.0,-2.0,904.0,0.6478079749538385,0.0,0.0,0.0,-2.3,0.0
4.0,0.0,9.0,2.0,-2.0,-2.0,-2.0,-2.0,936.0,0.6369196704975177,0.0,0.0,0.0,-2.3,0.0
4.0,0.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,808.0,0.6265625628469118,0.0,0.0,0.0,-2.3,0.0
5.0,1.0,7.0,6.0,-3.2,-3.2,-3.2,-3.2,1882.0,0.0,0.0,,,-2.0,0.0
5.0,1.0,7.0,5.0,-2.4,-2.4,-2.8,-2.8,1718.0,0.6176330530624912,0.6176330530624912,0.8,0.8,-2.0,1.0
5.0,1.0,7.0,4.0,-2.5,-2.4,-2.6999999999999997,-2.6999999999999997,3368.0,0.5536889276222059,0.5536889276222059,-0.1,0.1,-2.0,0.0
5.0,0.0,7.0,3.0,-1.1,-1.1,-2.3,-2.3,1817.0,0.5230784942158405,0.5230784942158405,1.3,1.3,-2.0,0.0
5.0,0.0,7.0,2.0,-1.1,-1.1,-2.0599999999999996,-2.3,743.0,0.6203137828463829,0.5230784942158405,0.0,0.0,-2.0,0.0
5.0,0.0,7.0,1.0,-1.1,-1.1,-1.8999999999999995,-2.3,737.0,0.7110037382387481,0.5230784942158405,0.0,0.0,-2.0,0.0
6.0,1.0,10.0,9.0,-2.9,-2.9,-2.9,-2.9,2246.0,0.0,0.0,,,-2.3,0.0
6.0,1.0,10.0,8.0,-3.5,-2.9,-3.2,-3.2,1442.0,1.072948979306622,1.072948979306622,-0.6,0.6,-2.3,0.0
6.0,1.0,10.0,7.0,-3.9,-2.9,-3.4333333333333336,-3.4333333333333336,1342.0,1.2569489388676993,1.2569489388676993,-1.0,1.0,-2.3,1.0
6.0,1.0,10.0,6.0,-3.5,-2.9,-3.45,-3.45,1136.0,1.2563096566883392,1.2563096566883392,-0.6,0.6,-2.3,1.0
6.0,0.0,10.0,5.0,-2.3,-2.3,-3.22,-3.22,1912.0,1.0663830115266877,1.0663830115266877,0.6,0.6,-2.3,1.0
6.0,0.0,10.0,4.0,-2.3,-2.3,-3.066666666666667,-3.22,1345.0,0.9479803092188502,1.0663830115266877,0.0,0.0,-2.3,1.0
6.0,0.0,10.0,3.0,-2.3,-2.3,-2.9571428571428577,-3.22,1071.0,0.8686418122839331,1.0663830115266877,0.0,0.0,-2.3,1.0
6.0,0.0,10.0,2.0,-2.3,-2.3,-2.8750000000000004,-3.22,1960.0,0.8124611283663875,1.0663830115266877,0.0,0.0,-2.3,0.0
6.0,0.0,10.0,1.0,-2.3,-2.3,-2.811111111111112,-3.22,728.0,0.7708571067405076,1.0663830115266877,0.0,0.0,-2.3,0.0
7.0,1.0,5.0,4.0,-3.0,-3.0,-3.0,-3.0,1799.0,0.0,0.0,,,-3.22,0.0
7.0,0.0,5.0,3.0,-2.7,-2.7,-2.85,-2.85,2504.0,0.7739319015490279,0.7739319015490279,0.3,0.3,-3.22,1.0
7.0,0.0,5.0,2.0,-2.7,-2.7,-2.8000000000000003,-2.85,680.0,0.7387619581226628,0.7739319015490279,0.0,0.0,-3.22,0.0
7.0,0.0,5.0,1.0,-2.7,-2.7,-2.7750000000000004,-2.85,825.0,0.7188581747964604,0.7739319015490279,0.0,0.0,-3.22,0.0
8.0,0.0,9.0,8.0,-2.2,-2.2,-2.2,-2.2,1503.0,0.0,0.0,,,-2.85,0.0
