trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,5.0,5.0,-2.0,-2.0,,10055.0
1.0,1.0,5.0,4.0,-2.0,-2.8,-0.8,6007.0
1.0,0.0,5.0,3.0,-2.0,-2.0,0.0,2768.0
1.0,0.0,5.0,2.0,-2.0,-2.0,0.0,1792.0
1.0,0.0,5.0,1.0,-2.0,-2.0,0.0,2525.0
2.0,1.0,6.0,6.0,-3.3,-3.3,,10055.0
2.0,1.0,6.0,5.0,-2.5,-2.5,0.8,6007.0
2.0,1.0,6.0,4.0,-2.5,-2.7,-0.2,2768.0
2.0,1.0,6.0,3.0,-2.5,-2.6,-0.1,1792.0
2.0,1.0,6.0,2.0,-2.5,-2.6,-0.1,2525.0
2.0,1.0,6.0,1.0,-2.5,-3.2,-0.7,5616.0
3.0,1.0,10.0,10.0,-2.0,-2.0,,10055.0
3.0,1.0,10.0,9.0,-2.0,-3.8,-1.8,6007.0
3.0,1.0,10.0,8.0,-2.0,-2.3,-0.3,2768.0
3.0,1.0,10.0,7.0,-2.0,-3.2,-1.2,1792.0
3.0,1.0,10.0,6.0,-2.0,-2.6,-0.6,2525.0
3.0,1.0,10.0,5.0,-2.0,-3.7,-1.7,5616.0
3.0,1.0,10.0,4.0,-2.0,-2.5,-0.5,11880.0
3.0,1.0,10.0,3.0,-2.0,-3.4,-1.4,4992.0
3.0,0.0,10.0,2.0,-2.0,-2.0,0.0,4591.0
3.0,0.0,10.0,1.0,-2.0,-2.0,0.0,6000.0
4.0,1.0,7.0,7.0,-2.2,-2.2,,10055.0
4.0,1.0,7.0,6.0,-2.2,-3.1,-0.9,6007.0
4.0,0.0,7.0,5.0,-2.2,-2.2,0.0,2768.0
4.0,0.0,7.0,4.0,-2.2,-2.2,0.0,1792.0
4.0,0.0,7.0,3.0,-2.2,-2.2,0.0,2525.0
4.0,0.0,7.0,2.0,-2.2,-2.2,0.0,5616.0
4.0,0.0,7.0,1.0,-2.2,-2.2,0.0,11880.0
5.0,1.0,5.0,5.0,-3.4,-3.4,,10055.0
5.0,1.0,5.0,4.0,-2.8,-2.8,0.6,6007.0
5.0,1.0,5.0,3.0,-2.8,-3.2,-0.4,2768.0
5.0,1.0,5.0,2.0,-2.8,-3.8,-1.0,1792.0
5.0,0.0,5.0,1.0,-2.8,-2.8,0.0,2525.0
6.0,1.0,8.0,8.0,-2.6,-2.6,,10055.0
6.0,1.0,8.0,7.0,-2.6,-3.5,-0.9,6007.0
6.0,1.0,8.0,6.0,-2.6,-3.7,-1.1,2768.0
6.0,0.0,8.0,5.0,-2.6,-2.6,0.0,1792.0
6.0,1.0,8.0,4.0,-2.6,-3.0,-0.4,2525.0
6.0,0.0,8.0,3.0,-2.6,-2.6,0.0,5616.0
6.0,0.0,8.0,2.0,-2.6,-2.6,0.0,11880.0
6.0,0.0,8.0,1.0,-2.6,-2.6,0.0,4992.0
7.0,1.0,10.0,10.0,-3.3,-3.3,,10055.0
7.0,1.0,10.0,9.0,-3.3,-3.7,-0.4,6007.0
7.0,1.0,10.0,8.0,-3.1,-3.1,0.2,2768.0
7.0,1.0,10.0,7.0,-3.1,-3.4,-0.3,1792.0
7.0,1.0,10.0,6.0,-3.1,-3.6,-0.5,2525.0
7.0,1.0,10.0,5.0,-2.3,-2.3,0.8,5616.0
7.0,0.0,10.0,4.0,-2.3,-2.3,0.0,11880.0
7.0,0.0,10.0,3.0,-2.3,-2.3,0.0,4992.0
