trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,10.0,10.0,-2.6,-2.6,,6967.0
1.0,1.0,10.0,9.0,-2.6,-3.1,-0.5,5496.0
1.0,1.0,10.0,8.0,-2.6,-2.8,-0.2,3574.0
1.0,1.0,10.0,7.0,-2.6,-3.3,-0.7,2664.0
1.0,0.0,10.0,6.0,-2.6,-2.6,0.0,4399.0
1.0,1.0,10.0,5.0,-2.6,-3.6,-1.0,6201.0
1.0,0.0,10.0,4.0,-2.6,-2.6,0.0,2104.0
1.0,1.0,10.0,3.0,-2.6,-3.4,-0.8,2695.0
1.0,0.0,10.0,2.0,-2.6,-2.6,0.0,2825.0
1.0,0.0,10.0,1.0,-2.6,-2.6,0.0,1885.0
2.0,1.0,7.0,7.0,-3.7,-3.7,,6967.0
2.0,1.0,7.0,6.0,-3.7,-4.0,-0.3,5496.0
2.0,1.0,7.0,5.0,-2.7,-2.7,1.0,3574.0
2.0,1.0,7.0,4.0,-2.7,-3.7,-1.0,2664.0
2.0,1.0,7.0,3.0,-2.5,-2.5,0.2,4399.0
2.0,0.0,7.0,2.0,-2.5,-2.5,0.0,6201.0
2.0,0.0,7.0,1.0,-2.5,-2.5,0.0,2104.0
3.0,1.0,10.0,10.0,-2.5,-2.5,,6967.0
3.0,1.0,10.0,9.0,-2.5,-2.7,-0.2,5496.0
3.0,1.0,10.0,8.0,-2.5,-3.1,-0.6,3574.0
3.0,1.0,10.0,7.0,-2.5,-3.9,-1.4,2664.0
3.0,0.0,10.0,6.0,-2.5,-2.5,0.0,4399.0
3.0,1.0,10.0,5.0,-1.9,-1.9,0.6,6201.0
3.0,1.0,10.0,4.0,-1.9,-2.8,-0.9,2104.0
3.0,0.0,10.0,3.0,-1.9,-1.9,0.0,2695.0
3.0,0.0,10.0,2.0,-1.9,-1.9,0.0,2825.0
3.0,0.0,10.0,1.0,-1.9,-1.9,0.0,1885.0
4.0,1.0,9.0,9.0,-3.4,-3.4,,6967.0
4.0,1.0,9.0,8.0,-3.4,-3.9,-0.5,5496.0
4.0,1.0,9.0,7.0,-3.4,-3.4,0.0,3574.0
4.0,1.0,9.0,6.0,-3.4,-3.4,0.0,2664.0
4.0,1.0,9.0,5.0,-2.4,-2.4,1.0,4399.0
4.0,0.0,9.0,4.0,-2.4,-2.4,0.0,6201.0
4.0,1.0,9.0,3.0,-2.4,-3.6,-1.2,2104.0
4.0,0.0,9.0,2.0,-2.4,-2.4,0.0,2695.0
4.0,0.0,9.0,1.0,-2.4,-2.4,0.0,2825.0
5.0,1.0,5.0,5.0,-3.5,-3.5,,6967.0
5.0,1.0,5.0,4.0,-2.2,-2.2,1.3,5496.0
5.0,1.0,5.0,3.0,-2.2,-3.4,-1.2,3574.0
5.0,0.0,5.0,2.0,-2.2,-2.2,0.0,2664.0
5.0,0.0,5.0,1.0,-2.2,-2.2,0.0,4399.0
6.0,1.0,5.0,5.0,-3.1,-3.1,,6967.0
6.0,1.0,5.0,4.0,-2.7,-2.7,0.4,5496.0
6.0,1.0,5.0,3.0,-2.1,-2.1,0.6,3574.0
6.0,0.0,5.0,2.0,-2.1,-2.1,0.0,2664.0
6.0,1.0,5.0,1.0,-2.1,-3.9,-1.8,4399.0
7.0,1.0,6.0,6.0,-2.9,-2.9,,6967.0
7.0,1.0,6.0,5.0,-2.9,-4.0,-1.1,5496.0
7.0,1.0,6.0,4.0,-2.4,-2.4,0.5,3574.0
7.0,1.0,6.0,3.0,-2.4,-2.4,0.0,2664.0
7.0,0.0,6.0,2.0,-2.4,-2.4,0.0,4399.0
7.0,0.0,6.0,1.0,-2.4,-2.4,0.0,6201.0
8.0,1.0,9.0,9.0,-3.5,-3.5,,6967.0
8.0,1.0,9.0,8.0,-3.4,-3.4,0.1,5496.0
8.0,1.0,9.0,7.0,-3.0,-3.0,0.4,3574.0
8.0,1.0,9.0,6.0,-2.9,-2.9,0.1,2664.0
8.0,1.0,9.0,5.0,-2.8,-2.8,0.1,4399.0
8.0,1.0,9.0,4.0,-2.8,-3.6,-0.8,6201.0
8.0,0.0,9.0,3.0,-2.8,-2.8,0.0,2104.0
8.0,1.0,9.0,2.0,-2.8,-3.2,-0.4,2695.0
8.0,0.0,9.0,1.0,-2.8,-2.8,0.0,2825.0
9.0,1.0,10.0,10.0,-2.1,-2.1,,6967.0
9.0,1.0,10.0,9.0,-1.9,-1.9,0.2,5496.0
9.0,1.0,10.0,8.0,-1.9,-3.2,-1.3,3574.0
9.0,1.0,10.0,7.0,-1.9,-2.0,-0.1,2664.0
9.0,1.0,10.0,6.0,-1.9,-2.3,-0.4,4399.0
9.0,1.0,10.0,5.0,-1.9,-3.4,-1.5,6201.0
9.0,0.0,10.0,4.0,-1.9,-1.9,0.0,2104.0
9.0,1.0,10.0,3.0,-1.9,-2.8,-0.9,2695.0
9.0,0.0,10.0,2.0,-1.9,-1.9,0.0,2825.0
9.0,0.0,10.0,1.0,-1.9,-1.9,0.0,1885.0
10.0,1.0,7.0,7.0,-2.7,-2.7,,6967.0
10.0,1.0,7.0,6.0,-2.7,-2.9,-0.2,5496.0
