trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,6.0,6.0,-3.0,-3.0,,6222.0
1.0,1.0,6.0,5.0,-3.0,-3.0,0.0,3745.0
1.0,1.0,6.0,4.0,-3.0,-3.8,-0.8,3791.0
1.0,1.0,6.0,3.0,-3.0,-3.2,-0.2,3488.0
1.0,0.0,6.0,2.0,-3.0,-3.0,0.0,4192.0
1.0,0.0,6.0,1.0,-3.0,-3.0,0.0,3479.0
2.0,1.0,10.0,10.0,-2.7,-2.7,,6222.0
2.0,1.0,10.0,9.0,-2.7,-2.8,-0.1,3745.0
2.0,1.0,10.0,8.0,-2.7,-2.9,-0.2,3791.0
2.0,1.0,10.0,7.0,-2.7,-2.7,0.0,3488.0
2.0,0.0,10.0,6.0,-2.7,-2.7,0.0,4192.0
2.0,0.0,10.0,5.0,-2.7,-2.7,0.0,3479.0
2.0,1.0,10.0,4.0,-2.7,-3.2,-0.5,2766.0
2.0,0.0,10.0,3.0,-2.7,-2.7,0.0,2505.0
2.0,0.0,10.0,2.0,-2.7,-2.7,0.0,1745.0
2.0,0.0,10.0,1.0,-2.7,-2.7,0.0,2622.0
3.0,1.0,6.0,6.0,-4.0,-4.0,,6222.0
3.0,1.0,6.0,5.0,-1.3,-1.3,2.7,3745.0
3.0,0.0,6.0,4.0,-1.3,-1.3,0.0,3791.0
3.0,0.0,6.0,3.0,-1.3,-1.3,0.0,3488.0
3.0,0.0,6.0,2.0,-1.3,-1.3,0.0,4192.0
3.0,0.0,6.0,1.0,-1.3,-1.3,0.0,3479.0
4.0,1.0,10.0,10.0,-3.0,-3.0,,6222.0
4.0,1.0,10.0,9.0,-3.0,-3.4,-0.4,3745.0
4.0,1.0,10.0,8.0,-3.0,-3.2,-0.2,3791.0
4.0,1.0,10.0,7.0,-2.8,-2.8,0.2,3488.0
4.0,0.0,10.0,6.0,-2.8,-2.8,0.0,4192.0
4.0,0.0,10.0,5.0,-2.8,-2.8,0.0,3479.0
4.0,0.0,10.0,4.0,-2.8,-2.8,0.0,2766.0
4.0,1.0,10.0,3.0,-2.7,-2.7,0.1,2505.0
4.0,0.0,10.0,2.0,-2.7,-2.7,0.0,1745.0
4.0,0.0,10.0,1.0,-2.7,-2.7,0.0,2622.0
5.0,1.0,7.0,7.0,-4.1,-4.1,,6222.0
5.0,1.0,7.0,6.0,-3.6,-3.6,0.5,3745.0
5.0,1.0,7.0,5.0,-3.4,-3.4,0.2,3791.0
5.0,1.0,7.0,4.0,-2.8,-2.8,0.6,3488.0
5.0,1.0,7.0,3.0,-2.8,-2.9,-0.1,4192.0
5.0,0.0,7.0,2.0,-2.8,-2.8,0.0,3479.0
5.0,0.0,7.0,1.0,-2.8,-2.8,0.0,2766.0
6.0,1.0,6.0,6.0,-2.8,-2.8,,6222.0
6.0,0.0,6.0,5.0,-2.8,-2.8,0.0,3745.0
6.0,1.0,6.0,4.0,-2.6,-2.6,0.2,3791.0
6.0,0.0,6.0,3.0,-2.6,-2.6,0.0,3488.0
6.0,0.0,6.0,2.0,-2.6,-2.6,0.0,4192.0
6.0,0.0,6.0,1.0,-2.6,-2.6,0.0,3479.0
7.0,1.0,5.0,5.0,-2.5,-2.5,,6222.0
7.0,1.0,5.0,4.0,-2.5,-3.6,-1.1,3745.0
7.0,1.0,5.0,3.0,-2.5,-3.5,-1.0,3791.0
7.0,0.0,5.0,2.0,-2.5,-2.5,0.0,3488.0
7.0,0.0,5.0,1.0,-2.5,-2.5,0.0,4192.0
8.0,1.0,6.0,6.0,-3.8,-3.8,,6222.0
8.0,1.0,6.0,5.0,-3.6,-3.6,0.2,3745.0
8.0,1.0,6.0,4.0,-2.9,-2.9,0.7,3791.0
8.0,1.0,6.0,3.0,-2.9,-3.8,-0.9,3488.0
8.0,0.0,6.0,2.0,-2.9,-2.9,0.0,4192.0
8.0,0.0,6.0,1.0,-2.9,-2.9,0.0,3479.0
9.0,1.0,10.0,10.0,-4.4,-4.4,,6222.0
9.0,1.0,10.0,9.0,-3.0,-3.0,1.4,3745.0
9.0,1.0,10.0,8.0,-2.2,-2.2,0.8,3791.0
9.0,1.0,10.0,7.0,-2.1,-2.1,0.1,3488.0
9.0,1.0,10.0,6.0,-2.0,-2.0,0.1,4192.0
9.0,1.0,10.0,5.0,-2.0,-2.3,-0.3,3479.0
9.0,1.0,10.0,4.0,-2.0,-2.8,-0.8,2766.0
9.0,0.0,10.0,3.0,-2.0,-2.0,0.0,2505.0
9.0,0.0,10.0,2.0,-2.0,-2.0,0.0,1745.0
9.0,0.0,10.0,1.0,-2.0,-2.0,0.0,2622.0
10.0,1.0,10.0,10.0,-2.9,-2.9,,6222.0
10.0,1.0,10.0,9.0,-2.9,-3.5,-0.6,3745.0
10.0,1.0,10.0,8.0,-2.9,-2.9,0.0,3791.0
10.0,0.0,10.0,7.0,-2.9,-2.9,0.0,3488.0
10.0,0.0,10.0,6.0,-2.9,-2.9,0.0,4192.0
10.0,1.0,10.0,5.0,-2.9,-3.8,-0.9,3479.0
10.0,0.0,10.0,4.0,-2.9,-2.9,0.0,2766.0
10.0,0.0,10.0,3.0,-2.9,-2.9,0.0,2505.0
10.0,1.0,10.0,2.0,-2.9,-3.5,-0.6,1745.0
10.0,0.0,10.0,1.0,-2.9,-2.9,0.0,2622.0
11.0,1.0,6.0,6.0,-3.1,-3.1,,6222.0
11.0,1.0,6.0,5.0,-3.1,-4.4,-1.3,3745.0
11.0,0.0,6.0,4.0,-3.1,-3.1,0.0,3791.0
11.0,1.0,6.0,3.0,-3.0,-3.0,0.1,3488.0
11.0,0.0,6.0,2.0,-3.0,-3.0,0.0,4192.0
11.0,1.0,6.0,1.0,-2.6,-2.6,0.4,3479.0
12.0,1.0,9.0,9.0,-2.5,-2.5,,6222.0
12.0,1.0,9.0,8.0,-2.0,-2.0,0.5,3745.0
