trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,7.0,7.0,-3.1,-3.1,,10167.0
1.0,1.0,7.0,6.0,-2.7,-2.7,0.4,3727.0
1.0,1.0,7.0,5.0,-2.7,-3.7,-1.0,6567.0
1.0,1.0,7.0,4.0,-2.7,-2.7,0.0,5049.0
1.0,0.0,7.0,3.0,-2.7,-2.7,0.0,2345.0
1.0,1.0,7.0,2.0,-2.5,-2.5,0.2,3577.0
1.0,0.0,7.0,1.0,-2.5,-2.5,0.0,4589.0
2.0,1.0,6.0,6.0,-1.9,-1.9,,10167.0
2.0,0.0,6.0,5.0,-1.9,-1.9,0.0,3727.0
2.0,1.0,6.0,4.0,-1.9,-1.9,0.0,6567.0
2.0,0.0,6.0,3.0,-1.9,-1.9,0.0,5049.0
2.0,1.0,6.0,2.0,-1.9,-3.3,-1.4,2345.0
2.0,0.0,6.0,1.0,-1.9,-1.9,0.0,3577.0
3.0,1.0,8.0,8.0,-2.2,-2.2,,10167.0
3.0,1.0,8.0,7.0,-2.2,-2.5,-0.3,3727.0
3.0,0.0,8.0,6.0,-2.2,-2.2,0.0,6567.0
3.0,1.0,8.0,5.0,-2.2,-2.9,-0.7,5049.0
3.0,0.0,8.0,4.0,-2.2,-2.2,0.0,2345.0
3.0,0.0,8.0,3.0,-2.2,-2.2,0.0,3577.0
3.0,1.0,8.0,2.0,-2.2,-2.9,-0.7,4589.0
3.0,0.0,8.0,1.0,-2.2,-2.2,0.0,7066.0
4.0,1.0,10.0,10.0,-3.2,-3.2,,10167.0
4.0,1.0,10.0,9.0,-3.0,-3.0,0.2,3727.0
4.0,1.0,10.0,8.0,-2.7,-2.7,0.3,6567.0
4.0,0.0,10.0,7.0,-2.7,-2.7,0.0,5049.0
4.0,1.0,10.0,6.0,-2.7,-3.9,-1.2,2345.0
4.0,0.0,10.0,5.0,-2.7,-2.7,0.0,3577.0
4.0,0.0,10.0,4.0,-2.7,-2.7,0.0,4589.0
4.0,1.0,10.0,3.0,-2.7,-3.6,-0.9,7066.0
4.0,0.0,10.0,2.0,-2.7,-2.7,0.0,1495.0
4.0,0.0,10.0,1.0,-2.7,-2.7,0.0,3024.0
5.0,1.0,10.0,10.0,-3.0,-3.0,,10167.0
5.0,1.0,10.0,9.0,-2.9,-2.9,0.1,3727.0
5.0,1.0,10.0,8.0,-2.3,-2.3,0.6,6567.0
5.0,0.0,10.0,7.0,-2.3,-2.3,0.0,5049.0
5.0,0.0,10.0,6.0,-2.3,-2.3,0.0,2345.0
5.0,1.0,10.0,5.0,-2.3,-3.8,-1.5,3577.0
5.0,0.0,10.0,4.0,-2.3,-2.3,0.0,4589.0
5.0,0.0,10.0,3.0,-2.3,-2.3,0.0,7066.0
5.0,1.0,10.0,2.0,-2.3,-2.6,-0.3,1495.0
5.0,0.0,10.0,1.0,-2.3,-2.3,0.0,3024.0
6.0,1.0,5.0,5.0,-3.6,-3.6,,10167.0
6.0,1.0,5.0,4.0,-2.9,-2.9,0.7,3727.0
6.0,0.0,5.0,3.0,-2.9,-2.9,0.0,6567.0
6.0,1.0,5.0,2.0,-2.7,-2.7,0.2,5049.0
6.0,0.0,5.0,1.0,-2.7,-2.7,0.0,2345.0
7.0,1.0,10.0,10.0,-1.6,-1.6,,10167.0
7.0,0.0,10.0,9.0,-1.6,-1.6,0.0,3727.0
7.0,0.0,10.0,8.0,-1.6,-1.6,0.0,6567.0
7.0,0.0,10.0,7.0,-1.6,-1.6,0.0,5049.0
7.0,0.0,10.0,6.0,-1.6,-1.6,0.0,2345.0
7.0,0.0,10.0,5.0,-1.6,-1.6,0.0,3577.0
7.0,0.0,10.0,4.0,-1.6,-1.6,0.0,4589.0
7.0,0.0,10.0,3.0,-1.6,-1.6,0.0,7066.0
7.0,0.0,10.0,2.0,-1.6,-1.6,0.0,1495.0
7.0,0.0,10.0,1.0,-1.6,-1.6,0.0,3024.0
8.0,1.0,8.0,8.0,-3.3,-3.3,,10167.0
8.0,1.0,8.0,7.0,-3.3,-3.6,-0.3,3727.0
8.0,1.0,8.0,6.0,-2.8,-2.8,0.5,6567.0
8.0,0.0,8.0,5.0,-2.8,-2.8,0.0,5049.0
8.0,1.0,8.0,4.0,-2.1,-2.1,0.7,2345.0
8.0,0.0,8.0,3.0,-2.1,-2.1,0.0,3577.0
8.0,0.0,8.0,2.0,-2.1,-2.1,0.0,4589.0
8.0,0.0,8.0,1.0,-2.1,-2.1,0.0,7066.0
9.0,1.0,5.0,5.0,-3.4,-3.4,,10167.0
9.0,1.0,5.0,4.0,-2.8,-2.8,0.6,3727.0
9.0,1.0,5.0,3.0,-2.5,-2.5,0.3,6567.0
9.0,0.0,5.0,2.0,-2.5,-2.5,0.0,5049.0
9.0,1.0,5.0,1.0,-2.5,-3.3,-0.8,2345.0
10.0,1.0,5.0,5.0,-3.0,-3.0,,10167.0
10.0,1.0,5.0,4.0,-2.5,-2.5,0.5,3727.0
10.0,1.0,5.0,3.0,-2.5,-2.7,-0.2,6567.0
10.0,0.0,5.0,2.0,-2.5,-2.5,0.0,5049.0
10.0,1.0,5.0,1.0,-2.5,-2.7,-0.2,2345.0
11.0,1.0,7.0,7.0,-3.1,-3.1,,10167.0
11.0,1.0,7.0,6.0,-2.3,-2.3,0.8,3727.0
11.0,0.0,7.0,5.0,-2.3,-2.3,0.0,6567.0
11.0,0.0,7.0,4.0,-2.3,-2.3,0.0,5049.0
11.0,1.0,7.0,3.0,-2.3,-3.6,-1.3,2345.0
11.0,0.0,7.0,2.0,-2.3,-2.3,0.0,3577.0
11.0,0.0,7.0,1.0,-2.3,-2.3,0.0,4589.0
12.0,1.0,8.0,8.0,-3.5,-3.5,,10167.0
12.0,1.0,8.0,7.0,-2.9,-2.9,0.6,3727.0
12.0,1.0,8.0,6.0,-2.9,-3.4,-0.5,6567.0
12.0,1.0,8.0,5.0,-2.9,-2.9,0.0,5049.0
12.0,0.0,8.0,4.0,-2.9,-2.9,0.0,2345.0
12.0,0.0,8.0,3.0,-2.9,-2.9,0.0,3577.0
12.0,0.0,8.0,2.0,-2.9,-2.9,0.0,4589.0
12.0,0.0,8.0,1.0,-2.9,-2.9,0.0,7066.0
13.0,1.0,7.0,7.0,-3.6,-3.6,,10167.0
13.0,1.0,7.0,6.0,-3.3,-3.3,0.3,3727.0
13.0,1.0,7.0,5.0,-2.5,-2.5,0.8,6567.0
13.0,1.0,7.0,4.0,-2.5,-3.2,-0.7,5049.0
13.0,0.0,7.0,3.0,-2.5,-2.5,0.0,2345.0
13.0,0.0,7.0,2.0,-2.5,-2.5,0.0,3577.0
13.0,0.0,7.0,1.0,-2.5,-2.5,0.0,4589.0
14.0,1.0,9.0,9.0,-2.4,-2.4,,10167.0
14.0,1.0,9.0,8.0,-2.4,-3.6,-1.2,3727.0
14.0,1.0,9.0,7.0,-2.4,-3.3,-0.9,6567.0
14.0,1.0,9.0,6.0,-2.1,-2.1,0.3,5049.0
14.0,0.0,9.0,5.0,-2.1,-2.1,0.0,2345.0
14.0,0.0,9.0,4.0,-2.1,-2.1,0.0,3577.0
14.0,0.0,9.0,3.0,-2.1,-2.1,0.0,4589.0
14.0,0.0,9.0,2.0,-2.1,-2.1,0.0,7066.0
14.0,0.0,9.0,1.0,-2.1,-2.1,0.0,1495.0
15.0,1.0,9.0,9.0,-1.1,-1.1,,10167.0
15.0,0.0,9.0,8.0,-1.1,-1.1,0.0,3727.0
15.0,0.0,9.0,7.0,-1.1,-1.1,0.0,6567.0
15.0,0.0,9.0,6.0,-1.1,-1.1,0.0,5049.0
15.0,0.0,9.0,5.0,-1.1,-1.1,0.0,2345.0
15.0,0.0,9.0,4.0,-1.1,-1.1,0.0,3577.0
15.0,0.0,9.0,3.0,-1.1,-1.1,0.0,4589.0
15.0,0.0,9.0,2.0,-1.1,-1.1,0.0,7066.0
15.0,0.0,9.0,1.0,-1.1,-1.1,0.0,1495.0
16.0,1.0,9.0,9.0,-3.3,-3.3,,10167.0
16.0,1.0,9.0,8.0,-2.6,-2.6,0.7,3727.0
16.0,0.0,9.0,7.0,-2.6,-2.6,0.0,6567.0
16.0,1.0,9.0,6.0,-2.6,-3.3,-0.7,5049.0
16.0,0.0,9.0,5.0,-2.6,-2.6,0.0,2345.0
16.0,0.0,9.0,4.0,-2.6,-2.6,0.0,3577.0
16.0,1.0,9.0,3.0,-2.3,-2.3,0.3,4589.0
16.0,0.0,9.0,2.0,-2.3,-2.3,0.0,7066.0
16.0,0.0,9.0,1.0,-2.3,-2.3,0.0,1495.0
17.0,1.0,10.0,10.0,-3.1,-3.1,,10167.0
17.0,1.0,10.0,9.0,-3.1,-3.5,-0.4,3727.0
17.0,1.0,10.0,8.0,-2.3,-2.3,0.8,6567.0
17.0,0.0,10.0,7.0,-2.3,-2.3,0.0,5049.0
17.0,0.0,10.0,6.0,-2.3,-2.3,0.0,2345.0
17.0,0.0,10.0,5.0,-2.3,-2.3,0.0,3577.0
17.0,1.0,10.0,4.0,-2.3,-3.5,-1.2,4589.0
17.0,0.0,10.0,3.0,-2.3,-2.3,0.0,7066.0
17.0,0.0,10.0,2.0,-2.3,-2.3,0.0,1495.0
17.0,0.0,10.0,1.0,-2.3,-2.3,0.0,3024.0
18.0,1.0,8.0,8.0,-2.8,-2.8,,10167.0
18.0,1.0,8.0,7.0,-2.8,-2.8,0.0,3727.0
18.0,0.0,8.0,6.0,-2.8,-2.8,0.0,6567.0
18.0,0.0,8.0,5.0,-2.8,-2.8,0.0,5049.0
18.0,1.0,8.0,4.0,-2.3,-2.3,0.5,2345.0
18.0,0.0,8.0,3.0,-2.3,-2.3,0.0,3577.0
18.0,0.0,8.0,2.0,-2.3,-2.3,0.0,4589.0
18.0,0.0,8.0,1.0,-2.3,-2.3,0.0,7066.0
19.0,1.0,6.0,6.0,-2.9,-2.9,,10167.0
19.0,1.0,6.0,5.0,-2.4,-2.4,0.5,3727.0
19.0,0.0,6.0,4.0,-2.4,-2.4,0.0,6567.0
19.0,0.0,6.0,3.0,-2.4,-2.4,0.0,5049.0
19.0,0.0,6.0,2.0,-2.4,-2.4,0.0,2345.0
19.0,1.0,6.0,1.0,-2.4,-3.0,-0.6,3577.0
20.0,1.0,7.0,7.0,-3.0,-3.0,,10167.0
20.0,1.0,7.0,6.0,-2.5,-2.5,0.5,3727.0
20.0,0.0,7.0,5.0,-2.5,-2.5,0.0,6567.0
20.0,0.0,7.0,4.0,-2.5,-2.5,0.0,5049.0
20.0,1.0,7.0,3.0,-2.5,-3.5,-1.0,2345.0
20.0,0.0,7.0,2.0,-2.5,-2.5,0.0,3577.0
20.0,0.0,7.0,1.0,-2.5,-2.5,0.0,4589.0
21.0,1.0,5.0,5.0,-2.4,-2.4,,10167.0
21.0,1.0,5.0,4.0,-2.4,-2.7,-0.3,3727.0
21.0,0.0,5.0,3.0,-2.4,-2.4,0.0,6567.0
21.0,0.0,5.0,2.0,-2.4,-2.4,0.0,5049.0
21.0,0.0,5.0,1.0,-2.4,-2.4,0.0,2345.0
22.0,1.0,10.0,10.0,-2.9,-2.9,,10167.0
22.0,1.0,10.0,9.0,-2.9,-2.9,0.0,3727.0
