trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,7.0,7.0,-4.4,-4.4,,5054.0
1.0,1.0,7.0,6.0,-2.9,-2.9,1.5,6175.0
1.0,1.0,7.0,5.0,-2.9,-3.1,-0.2,4848.0
1.0,1.0,7.0,4.0,-2.8,-2.8,0.1,6056.0
1.0,1.0,7.0,3.0,-2.2,-2.2,0.6,5736.0
1.0,1.0,7.0,2.0,-2.2,-4.4,-2.2,3000.0
1.0,1.0,7.0,1.0,-2.2,-3.3,-1.1,3213.0
2.0,1.0,5.0,5.0,-4.2,-4.2,,5054.0
2.0,1.0,5.0,4.0,-3.7,-3.7,0.5,6175.0
2.0,1.0,5.0,3.0,-3.7,-4.0,-0.3,4848.0
2.0,1.0,5.0,2.0,-3.5,-3.5,0.2,6056.0
2.0,1.0,5.0,1.0,-3.2,-3.2,0.3,5736.0
3.0,1.0,6.0,6.0,-3.7,-3.7,,5054.0
3.0,1.0,6.0,5.0,-3.7,-3.8,-0.1,6175.0
3.0,1.0,6.0,4.0,-3.7,-4.1,-0.4,4848.0
3.0,1.0,6.0,3.0,-3.7,-3.9,-0.2,6056.0
3.0,1.0,6.0,2.0,-3.2,-3.2,0.5,5736.0
3.0,1.0,6.0,1.0,-2.1,-2.1,1.1,3000.0
4.0,1.0,10.0,10.0,-2.9,-2.9,,5054.0
4.0,1.0,10.0,9.0,-2.2,-2.2,0.7,6175.0
4.0,1.0,10.0,8.0,-2.1,-2.1,0.1,4848.0
4.0,1.0,10.0,7.0,-2.1,-3.0,-0.9,6056.0
4.0,1.0,10.0,6.0,-2.1,-2.7,-0.6,5736.0
4.0,1.0,10.0,5.0,-2.1,-2.4,-0.3,3000.0
4.0,1.0,10.0,4.0,-2.1,-3.6,-1.5,3213.0
4.0,1.0,10.0,3.0,-2.1,-2.1,0.0,2816.0
4.0,1.0,10.0,2.0,-2.1,-2.7,-0.6,4008.0
4.0,0.0,10.0,1.0,-2.1,-2.1,0.0,2025.0
5.0,1.0,7.0,7.0,-2.7,-2.7,,5054.0
5.0,1.0,7.0,6.0,-2.7,-3.3,-0.6,6175.0
5.0,1.0,7.0,5.0,-2.2,-2.2,0.5,4848.0
5.0,1.0,7.0,4.0,-2.2,-3.1,-0.9,6056.0
5.0,1.0,7.0,3.0,-2.2,-3.6,-1.4,5736.0
5.0,0.0,7.0,2.0,-2.2,-2.2,0.0,3000.0
5.0,1.0,7.0,1.0,-2.2,-3.5,-1.3,3213.0
6.0,1.0,5.0,5.0,-2.9,-2.9,,5054.0
6.0,1.0,5.0,4.0,-2.9,-3.0,-0.1,6175.0
6.0,1.0,5.0,3.0,-2.9,-3.2,-0.3,4848.0
6.0,1.0,5.0,2.0,-2.9,-4.6,-1.7,6056.0
6.0,0.0,5.0,1.0,-2.9,-2.9,0.0,5736.0
7.0,1.0,10.0,10.0,-3.1,-3.1,,5054.0
7.0,1.0,10.0,9.0,-3.1,-4.0,-0.9,6175.0
7.0,1.0,10.0,8.0,-3.1,-3.1,0.0,4848.0
7.0,1.0,10.0,7.0,-3.1,-3.1,0.0,6056.0
7.0,1.0,10.0,6.0,-2.5,-2.5,0.6,5736.0
7.0,1.0,10.0,5.0,-2.5,-2.8,-0.3,3000.0
7.0,1.0,10.0,4.0,-2.5,-3.7,-1.2,3213.0
7.0,0.0,10.0,3.0,-2.5,-2.5,0.0,2816.0
7.0,1.0,10.0,2.0,-1.2,-1.2,1.3,4008.0
7.0,0.0,10.0,1.0,-1.2,-1.2,0.0,2025.0
8.0,1.0,8.0,8.0,-3.0,-3.0,,5054.0
8.0,1.0,8.0,7.0,-3.0,-3.6,-0.6,6175.0
8.0,1.0,8.0,6.0,-3.0,-3.2,-0.2,4848.0
8.0,1.0,8.0,5.0,-2.4,-2.4,0.6,6056.0
8.0,1.0,8.0,4.0,-2.4,-3.1,-0.7,5736.0
8.0,1.0,8.0,3.0,-2.4,-2.5,-0.1,3000.0
8.0,1.0,8.0,2.0,-2.4,-3.2,-0.8,3213.0
8.0,0.0,8.0,1.0,-2.4,-2.4,0.0,2816.0
9.0,1.0,9.0,9.0,-4.3,-4.3,,5054.0
9.0,1.0,9.0,8.0,-3.7,-3.7,0.6,6175.0
9.0,1.0,9.0,7.0,-3.0,-3.0,0.7,4848.0
9.0,1.0,9.0,6.0,-2.9,-2.9,0.1,6056.0
9.0,1.0,9.0,5.0,-2.9,-3.2,-0.3,5736.0
9.0,1.0,9.0,4.0,-2.9,-3.0,-0.1,3000.0
9.0,1.0,9.0,3.0,-2.9,-3.2,-0.3,3213.0
9.0,0.0,9.0,2.0,-2.9,-2.9,0.0,2816.0
9.0,1.0,9.0,1.0,-2.9,-3.5,-0.6,4008.0
10.0,1.0,10.0,10.0,-4.0,-4.0,,5054.0
10.0,1.0,10.0,9.0,-3.8,-3.8,0.2,6175.0
10.0,1.0,10.0,8.0,-3.3,-3.3,0.5,4848.0
10.0,1.0,10.0,7.0,-3.2,-3.2,0.1,6056.0
10.0,1.0,10.0,6.0,-2.7,-2.7,0.5,5736.0
10.0,1.0,10.0,5.0,-2.7,-2.8,-0.1,3000.0
10.0,1.0,10.0,4.0,-2.7,-3.2,-0.5,3213.0
10.0,0.0,10.0,3.0,-2.7,-2.7,0.0,2816.0
10.0,1.0,10.0,2.0,-2.7,-4.2,-1.5,4008.0
10.0,0.0,10.0,1.0,-2.7,-2.7,0.0,2025.0
11.0,1.0,9.0,9.0,-1.8,-1.8,,5054.0
11.0,1.0,9.0,8.0,-1.8,-3.5,-1.7,6175.0
11.0,0.0,9.0,7.0,-1.8,-1.8,0.0,4848.0
11.0,0.0,9.0,6.0,-1.8,-1.8,0.0,6056.0
11.0,0.0,9.0,5.0,-1.8,-1.8,0.0,5736.0
11.0,1.0,9.0,4.0,-1.8,-2.0,-0.2,3000.0
11.0,1.0,9.0,3.0,-1.8,-2.6,-0.8,3213.0
11.0,0.0,9.0,2.0,-1.8,-1.8,0.0,2816.0
11.0,0.0,9.0,1.0,-1.8,-1.8,0.0,4008.0
