trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,8.0,8.0,-3.0,-3.0,,5072.0
1.0,1.0,8.0,7.0,-2.9,-2.9,0.1,6102.0
1.0,1.0,8.0,6.0,-2.9,-3.0,-0.1,3402.0
1.0,1.0,8.0,5.0,-2.9,-3.3,-0.4,3279.0
1.0,0.0,8.0,4.0,-2.9,-2.9,0.0,2274.0
1.0,1.0,8.0,3.0,-2.9,-4.3,-1.4,2628.0
1.0,1.0,8.0,2.0,-2.9,-3.0,-0.1,1922.0
1.0,0.0,8.0,1.0,-2.9,-2.9,0.0,1772.0
2.0,1.0,5.0,5.0,-4.1,-4.1,,5072.0
2.0,1.0,5.0,4.0,-3.2,-3.2,0.9,6102.0
2.0,1.0,5.0,3.0,-1.3,-1.3,1.9,3402.0
2.0,0.0,5.0,2.0,-1.3,-1.3,0.0,3279.0
2.0,0.0,5.0,1.0,-1.3,-1.3,0.0,2274.0
3.0,1.0,5.0,5.0,-3.4,-3.4,,5072.0
3.0,1.0,5.0,4.0,-3.1,-3.1,0.3,6102.0
3.0,1.0,5.0,3.0,-3.1,-3.2,-0.1,3402.0
3.0,1.0,5.0,2.0,-3.1,-4.1,-1.0,3279.0
3.0,1.0,5.0,1.0,-2.1,-2.1,1.0,2274.0
4.0,1.0,6.0,6.0,-3.3,-3.3,,5072.0
4.0,1.0,6.0,5.0,-2.0,-2.0,1.3,6102.0
4.0,0.0,6.0,4.0,-2.0,-2.0,0.0,3402.0
4.0,1.0,6.0,3.0,-2.0,-3.5,-1.5,3279.0
4.0,0.0,6.0,2.0,-2.0,-2.0,0.0,2274.0
4.0,0.0,6.0,1.0,-2.0,-2.0,0.0,2628.0
5.0,1.0,10.0,10.0,-4.3,-4.3,,5072.0
5.0,1.0,10.0,9.0,-3.5,-3.5,0.8,6102.0
5.0,1.0,10.0,8.0,-2.6,-2.6,0.9,3402.0
5.0,1.0,10.0,7.0,-2.6,-3.3,-0.7,3279.0
5.0,1.0,10.0,6.0,-2.6,-3.1,-0.5,2274.0
5.0,1.0,10.0,5.0,-2.6,-3.8,-1.2,2628.0
5.0,0.0,10.0,4.0,-2.6,-2.6,0.0,1922.0
5.0,1.0,10.0,3.0,-2.6,-3.8,-1.2,1772.0
5.0,0.0,10.0,2.0,-2.6,-2.6,0.0,2089.0
5.0,0.0,10.0,1.0,-2.6,-2.6,0.0,1727.0
6.0,1.0,6.0,6.0,-2.3,-2.3,,5072.0
6.0,0.0,6.0,5.0,-2.3,-2.3,0.0,6102.0
6.0,0.0,6.0,4.0,-2.3,-2.3,0.0,3402.0
6.0,0.0,6.0,3.0,-2.3,-2.3,0.0,3279.0
6.0,0.0,6.0,2.0,-2.3,-2.3,0.0,2274.0
6.0,1.0,6.0,1.0,-2.3,-2.5,-0.2,2628.0
7.0,1.0,9.0,9.0,-3.2,-3.2,,5072.0
7.0,1.0,9.0,8.0,-3.1,-3.1,0.1,6102.0
7.0,0.0,9.0,7.0,-3.1,-3.1,0.0,3402.0
7.0,1.0,9.0,6.0,-2.5,-2.5,0.6,3279.0
7.0,1.0,9.0,5.0,-2.5,-4.0,-1.5,2274.0
7.0,0.0,9.0,4.0,-2.5,-2.5,0.0,2628.0
7.0,0.0,9.0,3.0,-2.5,-2.5,0.0,1922.0
7.0,0.0,9.0,2.0,-2.5,-2.5,0.0,1772.0
7.0,1.0,9.0,1.0,-2.5,-2.7,-0.2,2089.0
8.0,1.0,9.0,9.0,-1.9,-1.9,,5072.0
8.0,0.0,9.0,8.0,-1.9,-1.9,0.0,6102.0
8.0,0.0,9.0,7.0,-1.9,-1.9,0.0,3402.0
8.0,0.0,9.0,6.0,-1.9,-1.9,0.0,3279.0
8.0,0.0,9.0,5.0,-1.9,-1.9,0.0,2274.0
8.0,0.0,9.0,4.0,-1.9,-1.9,0.0,2628.0
8.0,0.0,9.0,3.0,-1.9,-1.9,0.0,1922.0
8.0,1.0,9.0,2.0,-1.9,-2.2,-0.3,1772.0
8.0,0.0,9.0,1.0,-1.9,-1.9,0.0,2089.0
9.0,1.0,5.0,5.0,-3.0,-3.0,,5072.0
9.0,1.0,5.0,4.0,-2.3,-2.3,0.7,6102.0
