trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,5.0,5.0,-2.5,-2.5,,17119.60000000149
1.0,1.0,5.0,4.0,-2.0,-2.0,0.5,7927.800000000745
1.0,1.0,5.0,3.0,-2.0,-3.2,-1.2,25816.0
1.0,1.0,5.0,2.0,-2.0,-2.0,0.0,4280.099999997765
1.0,0.0,5.0,1.0,-2.0,-2.0,0.0,3718.900000002235
2.0,1.0,9.0,9.0,-3.6,-3.6,,17119.60000000149
2.0,1.0,9.0,8.0,-3.6,-4.4,-0.8,7927.800000000745
2.0,1.0,9.0,7.0,-3.3,-3.3,0.3,25816.0
2.0,1.0,9.0,6.0,-2.4,-2.4,0.9,4280.099999997765
2.0,1.0,9.0,5.0,-2.4,-3.2,-0.8,3718.900000002235
2.0,1.0,9.0,4.0,-2.4,-2.9,-0.5,3400.0
2.0,1.0,9.0,3.0,-2.4,-3.5,-1.1,3208.0
2.0,0.0,9.0,2.0,-2.4,-2.4,0.0,5991.89999999851
2.0,0.0,9.0,1.0,-2.4,-2.4,0.0,9848.10000000149
3.0,1.0,6.0,6.0,-2.7,-2.7,,17119.60000000149
3.0,1.0,6.0,5.0,-2.7,-2.7,0.0,7927.800000000745
3.0,1.0,6.0,4.0,-2.7,-3.4,-0.7,25816.0
3.0,1.0,6.0,3.0,-2.7,-2.7,0.0,4280.099999997765
3.0,1.0,6.0,2.0,-2.7,-3.4,-0.7,3718.900000002235
3.0,0.0,6.0,1.0,-2.7,-2.7,0.0,3400.0
4.0,1.0,6.0,6.0,-2.0,-2.0,,17119.60000000149
4.0,1.0,6.0,5.0,-2.0,-2.8,-0.8,7927.800000000745
4.0,0.0,6.0,4.0,-2.0,-2.0,0.0,25816.0
4.0,0.0,6.0,3.0,-2.0,-2.0,0.0,4280.099999997765
4.0,1.0,6.0,2.0,-2.0,-3.5,-1.5,3718.900000002235
4.0,0.0,6.0,1.0,-2.0,-2.0,0.0,3400.0
5.0,1.0,7.0,7.0,-2.4,-2.4,,17119.60000000149
5.0,1.0,7.0,6.0,-2.4,-3.1,-0.7,7927.800000000745
5.0,1.0,7.0,5.0,-2.4,-3.5,-1.1,25816.0
5.0,1.0,7.0,4.0,-2.4,-3.4,-1.0,4280.099999997765
5.0,0.0,7.0,3.0,-2.4,-2.4,0.0,3718.900000002235
5.0,0.0,7.0,2.0,-2.4,-2.4,0.0,3400.0
5.0,0.0,7.0,1.0,-2.4,-2.4,0.0,3208.0
6.0,1.0,10.0,10.0,-3.7,-3.7,,17119.60000000149
6.0,1.0,10.0,9.0,-3.1,-3.1,0.6,7927.800000000745
6.0,1.0,10.0,8.0,-3.1,-3.4,-0.3,25816.0
6.0,1.0,10.0,7.0,-3.1,-3.1,0.0,4280.099999997765
6.0,1.0,10.0,6.0,-3.1,-3.1,0.0,3718.900000002235
6.0,1.0,10.0,5.0,-3.1,-3.3,-0.2,3400.0
6.0,1.0,10.0,4.0,-3.1,-3.2,-0.1,3208.0
6.0,1.0,10.0,3.0,-3.1,-3.5,-0.4,5991.89999999851
6.0,0.0,10.0,2.0,-3.1,-3.1,0.0,9848.10000000149
6.0,0.0,10.0,1.0,-3.1,-3.1,0.0,3855.89999999851
7.0,1.0,7.0,7.0,-3.6,-3.6,,17119.60000000149
7.0,1.0,7.0,6.0,-3.2,-3.2,0.4,7927.800000000745
7.0,1.0,7.0,5.0,-2.4,-2.4,0.8,25816.0
7.0,1.0,7.0,4.0,-2.3,-2.3,0.1,4280.099999997765
7.0,1.0,7.0,3.0,-2.3,-3.0,-0.7,3718.900000002235
7.0,1.0,7.0,2.0,-2.3,-3.4,-1.1,3400.0
7.0,0.0,7.0,1.0,-2.3,-2.3,0.0,3208.0
8.0,1.0,8.0,8.0,-3.5,-3.5,,17119.60000000149
8.0,1.0,8.0,7.0,-2.9,-2.9,0.6,7927.800000000745
8.0,1.0,8.0,6.0,-2.9,-3.1,-0.2,25816.0
8.0,1.0,8.0,5.0,-2.9,-3.4,-0.5,4280.099999997765
8.0,1.0,8.0,4.0,-2.9,-3.7,-0.8,3718.900000002235
8.0,1.0,8.0,3.0,-2.9,-2.9,0.0,3400.0
8.0,0.0,8.0,2.0,-2.9,-2.9,0.0,3208.0
8.0,0.0,8.0,1.0,-2.9,-2.9,0.0,5991.89999999851
9.0,1.0,8.0,8.0,-3.5,-3.5,,17119.60000000149
9.0,1.0,8.0,7.0,-3.5,-4.6,-1.1,7927.800000000745
9.0,1.0,8.0,6.0,-3.3,-3.3,0.2,25816.0
9.0,1.0,8.0,5.0,-2.1,-2.1,1.2,4280.099999997765
9.0,1.0,8.0,4.0,-1.6,-1.6,0.5,3718.900000002235
9.0,0.0,8.0,3.0,-1.6,-1.6,0.0,3400.0
9.0,0.0,8.0,2.0,-1.6,-1.6,0.0,3208.0
9.0,0.0,8.0,1.0,-1.6,-1.6,0.0,5991.89999999851
