trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,9,1,6140,1,3.3,3.3,3.3,0.0,3.3,0.0,0.0,0,,
1,9,2,15333,1,3.8,3.8,3.55,0.25,3.55,0.25,0.0,0,0.5,0.5
1,9,3,7664,0,3.8,3.8,3.633333333333333,0.23570226039551584,3.55,0.25,0.0,0,0.0,0.0
1,9,4,10273,0,3.8,3.8,3.675,0.21650635094610965,3.55,0.25,0.0,0,0.0,0.0
1,9,5,4671,1,3.2,3.8,3.5799999999999996,0.2712931993250106,3.4799999999999995,0.28913664589601923,0.0,0,-0.6,0.6
1,9,6,2737,0,3.8,3.8,3.6166666666666667,0.26087459737497537,3.4799999999999995,0.28913664589601923,0.0,0,0.0,0.0
1,9,7,1789,0,3.8,3.8,3.642857142857143,0.2498979383505128,3.4799999999999995,0.28913664589601923,0.0,0,0.0,0.0
1,9,8,5122,0,3.8,3.8,3.6625,0.23946555075835013,3.4799999999999995,0.28913664589601923,0.0,0,0.0,0.0
1,9,9,2001,0,3.8,3.8,3.677777777777778,0.22986845406196882,3.4799999999999995,0.28913664589601923,0.0,0,0.0,0.0
2,10,1,4087,1,3.3,3.3,3.3,0.0,3.3,0.0,3.4799999999999995,0,,
2,10,2,4232,1,4.2,4.2,3.75,0.29037593188517163,3.75,0.29037593188517163,3.4799999999999995,0,0.9,0.9
2,10,3,3751,0,4.2,4.2,3.9,0.3488074922742725,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
2,10,4,1383,0,4.2,4.2,3.9749999999999996,0.38009361195125835,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
2,10,5,1081,0,4.2,4.2,4.02,0.39438922036847956,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
2,10,6,1080,0,4.2,4.2,4.05,0.39979161238491895,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
2,10,7,1288,0,4.2,4.2,4.071428571428571,0.400350611645465,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
2,10,8,1864,0,4.2,4.2,4.0875,0.39816906326481055,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
2,10,9,1048,0,4.2,4.2,4.1000000000000005,0.39440531887330804,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
2,10,10,1265,0,4.2,4.2,4.110000000000001,0.38973000100609534,3.75,0.29037593188517163,3.4799999999999995,0,0.0,0.0
3,6,1,5967,1,2.7,2.7,2.7,0.0,2.7,0.0,3.75,0,,
3,6,2,2544,1,3.5,3.5,3.1,0.8375133261199916,3.1,0.8375133261199916,3.75,1,0.8,0.8
3,6,3,4079,0,3.5,3.5,3.233333333333333,0.7101358527020938,3.1,0.8375133261199916,3.75,0,0.0,0.0
3,6,4,1225,0,3.5,3.5,3.3,0.6436985521864693,3.1,0.8375133261199916,3.75,0,0.0,0.0
3,6,5,1095,0,3.5,3.5,3.34,0.6011239472854164,3.1,0.8375133261199916,3.75,0,0.0,0.0
3,6,6,1112,0,3.5,3.5,3.3666666666666667,0.5704189493501928,3.1,0.8375133261199916,3.75,0,0.0,0.0
4,8,1,2831,1,2.8,2.8,2.8,0.0,2.8,0.0,3.1,0,,
4,8,2,2128,1,4.2,4.2,3.5,0.5029542354558345,3.5,0.5029542354558345,3.1,1,1.4,1.4
4,8,3,1921,0,4.2,4.2,3.733333333333333,0.4349785617778758,3.5,0.5029542354558345,3.1,0,0.0,0.0
4,8,4,984,0,4.2,4.2,3.8499999999999996,0.43756772874765265,3.5,0.5029542354558345,3.1,0,0.0,0.0
4,8,5,967,0,4.2,4.2,3.9199999999999995,0.4484045792213396,3.5,0.5029542354558345,3.1,0,0.0,0.0
4,8,6,1120,0,4.2,4.2,3.9666666666666663,0.45747475790677655,3.5,0.5029542354558345,3.1,0,0.0,0.0
4,8,7,1090,0,4.2,4.2,3.9999999999999996,0.46368092477478506,3.5,0.5029542354558345,3.1,0,0.0,0.0
4,8,8,1439,0,4.2,4.2,4.0249999999999995,0.4674438874119414,3.5,0.5029542354558345,3.1,0,0.0,0.0
5,9,1,3248,1,2.7,2.7,2.7,0.0,2.7,0.0,3.5,0,,
5,9,2,2055,1,3.2,3.2,2.95,0.9574892763293561,2.95,0.9574892763293561,3.5,1,0.5,0.5
5,9,3,5648,1,2.7,3.2,2.866666666666667,1.0169853780951124,2.866666666666667,1.0169853780951124,3.5,1,-0.5,0.5
5,9,4,3808,0,3.2,3.2,2.95,0.9330638285284174,2.866666666666667,1.0169853780951124,3.5,1,0.0,0.0
