trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,7,1,6164,1,2.3,2.3,2.3,0.0,2.3,0.0,0.0,0,,
1,7,2,2406,1,3.0,3.0,2.65,0.3500000000000001,2.65,0.3500000000000001,0.0,1,0.7,0.7
1,7,3,2167,1,2.1,3.0,2.466666666666667,0.38586123009300755,2.466666666666667,0.38586123009300755,0.0,1,-0.9,0.9
1,7,4,4065,1,2.9,3.0,2.575,0.38324274291889726,2.575,0.38324274291889726,0.0,1,-0.1,0.1
1,7,5,1728,1,3.5,3.5,2.7600000000000002,0.5043808085167397,2.7600000000000002,0.5043808085167397,0.0,1,0.5,0.5
1,7,6,2919,1,2.8,3.5,2.766666666666667,0.4606758320361751,2.766666666666667,0.4606758320361751,0.0,1,-0.7,0.7
1,7,7,1433,1,3.1,3.5,2.8142857142857145,0.4421653583012047,2.8142857142857145,0.4421653583012047,0.0,1,-0.4,0.4
2,6,1,2110,1,3.1,3.1,3.1,0.0,3.1,0.0,2.8142857142857145,0,,
2,6,2,4696,1,2.5,3.1,2.8,0.4149966532662911,2.8,0.4149966532662911,2.8142857142857145,0,-0.6,0.6
2,6,3,1472,1,3.9,3.9,3.1666666666666665,0.5678419185340621,3.1666666666666665,0.5678419185340621,2.8142857142857145,1,0.8,0.8
2,6,4,3631,0,3.9,3.9,3.35,0.6583381280991487,3.1666666666666665,0.5678419185340621,2.8142857142857145,0,0.0,0.0
2,6,5,2265,0,3.9,3.9,3.46,0.7023294573536458,3.1666666666666665,0.5678419185340621,2.8142857142857145,0,0.0,0.0
2,6,6,1495,0,3.9,3.9,3.533333333333333,0.722235371346441,3.1666666666666665,0.5678419185340621,2.8142857142857145,0,0.0,0.0
3,10,1,1942,1,3.1,3.1,3.1,0.0,3.1,0.0,3.1666666666666665,0,,
3,10,2,2198,1,2.8,3.1,2.95,0.5987486951969081,2.95,0.5987486951969081,3.1666666666666665,0,-0.3,0.3
3,10,3,1642,1,3.7,3.7,3.2000000000000006,0.5750000000000001,3.2000000000000006,0.5750000000000001,3.1666666666666665,1,0.6,0.6
3,10,4,1897,1,3.2,3.7,3.2,0.5578319375835658,3.2,0.5578319375835658,3.1666666666666665,0,-0.5,0.5
3,10,5,1439,1,3.2,3.7,3.2,0.5421151989096864,3.2,0.5421151989096864,3.1666666666666665,0,-0.5,0.5
3,10,6,1888,0,3.7,3.7,3.283333333333333,0.5479760740924532,3.2,0.5421151989096864,3.1666666666666665,0,0.0,0.0
3,10,7,1081,0,3.7,3.7,3.3428571428571425,0.5528313024599745,3.2,0.5421151989096864,3.1666666666666665,0,0.0,0.0
3,10,8,1070,0,3.7,3.7,3.3874999999999997,0.5554183858438009,3.2,0.5421151989096864,3.1666666666666665,0,0.0,0.0
3,10,9,1112,0,3.7,3.7,3.422222222222222,0.5559039311750253,3.2,0.5421151989096864,3.1666666666666665,0,0.0,0.0
3,10,10,1080,0,3.7,3.7,3.45,0.5547228058267912,3.2,0.5421151989096864,3.1666666666666665,0,0.0,0.0
4,6,1,1642,1,1.7000000000000002,1.7000000000000002,1.7000000000000002,0.0,1.7000000000000002,0.0,3.2,0,,
4,6,2,1679,1,2.4,2.4,2.05,1.2859626744194408,2.05,1.2859626744194408,3.2,1,0.7,0.7
4,6,3,1587,1,3.4,3.4,2.5,0.9154654133701192,2.5,0.9154654133701192,3.2,1,1.0,1.0
4,6,4,1789,1,2.5,3.4,2.5,0.8983524013643183,2.5,0.8983524013643183,3.2,1,-0.9,0.9
4,6,5,1840,0,3.4,3.4,2.68,0.7731937476652092,2.5,0.8983524013643183,3.2,1,0.0,0.0
4,6,6,1458,0,3.4,3.4,2.8000000000000003,0.6997536512329128,2.5,0.8983524013643183,3.2,1,0.0,0.0
5,5,1,1405,1,2.7,2.7,2.7,0.0,2.7,0.0,2.5,0,,
5,5,2,1593,1,3.1,3.1,2.9000000000000004,0.6316900015549684,2.9000000000000004,0.6316900015549684,2.5,1,0.4,0.4
