trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,5,1,3492,1,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0,,
1,5,2,6608,1,2.7,2.7,2.35,0.3500000000000001,2.35,0.3500000000000001,0.0,1,0.7,0.7
1,5,3,3944,1,3.2,3.2,2.6333333333333333,0.4921607686744468,2.6333333333333333,0.4921607686744468,0.0,1,0.5,0.5
1,5,4,4398,1,3.0,3.2,2.725,0.45483513496650635,2.725,0.45483513496650635,0.0,1,-0.2,0.2
1,5,5,3464,0,3.2,3.2,2.8200000000000003,0.44899888641287306,2.725,0.45483513496650635,0.0,1,0.0,0.0
2,8,1,3846,1,3.2,3.2,3.2,0.0,3.2,0.0,2.725,0,,
2,8,2,2784,1,2.5,3.2,2.85,0.4238429628327657,2.85,0.4238429628327657,2.725,0,-0.7,0.7
2,8,3,4553,1,3.5,3.5,3.0666666666666664,0.4794383287880841,3.0666666666666664,0.4794383287880841,2.725,1,0.3,0.3
2,8,4,2752,0,3.5,3.5,3.175,0.5061428213020072,3.0666666666666664,0.4794383287880841,2.725,0,0.0,0.0
2,8,5,1928,0,3.5,3.5,3.2399999999999998,0.5140038910358558,3.0666666666666664,0.4794383287880841,2.725,0,0.0,0.0
2,8,6,1583,0,3.5,3.5,3.283333333333333,0.5125446519104654,3.0666666666666664,0.4794383287880841,2.725,0,0.0,0.0
2,8,7,1576,1,2.9,3.5,3.228571428571428,0.48105255910955314,3.0428571428571423,0.45018892481624967,2.725,0,-0.6,0.6
2,8,8,2266,1,1.7000000000000002,3.5,3.0374999999999996,0.5699717435641335,2.8749999999999996,0.5692859900450199,2.725,0,-1.8,1.8
3,8,1,1840,1,2.5,2.5,2.5,0.0,2.5,0.0,2.8749999999999996,0,,
3,8,2,1823,1,2.5,2.5,2.5,0.6737952211169207,2.5,0.6737952211169207,2.8749999999999996,1,0.0,0.0
3,8,3,3299,1,2.5,2.5,2.5,0.6523994175349944,2.5,0.6523994175349944,2.8749999999999996,1,0.0,0.0
3,8,4,4224,1,3.3,3.3,2.7,0.5662051176862654,2.7,0.5662051176862654,2.8749999999999996,1,0.8,0.8
3,8,5,2741,1,2.9,3.3,2.74,0.5394853514641935,2.74,0.5394853514641935,2.8749999999999996,1,-0.4,0.4
3,8,6,1880,1,3.3,3.3,2.8333333333333335,0.5178114086911954,2.8333333333333335,0.5178114086911954,2.8749999999999996,1,0.0,0.0
3,8,7,2687,1,2.6,3.3,2.8000000000000003,0.5128352561983234,2.8000000000000003,0.5128352561983234,2.8749999999999996,1,-0.7,0.7
3,8,8,1636,0,3.3,3.3,2.8625000000000003,0.5014042780032895,2.8000000000000003,0.5128352561983234,2.8749999999999996,1,0.0,0.0
4,9,1,3637,1,3.4,3.4,3.4,0.0,3.4,0.0,2.8000000000000003,0,,
4,9,2,2456,1,3.2,3.4,3.3,0.5999999999999999,3.3,0.5999999999999999,2.8000000000000003,0,-0.2,0.2
4,9,3,1913,1,3.9,3.9,3.5,0.7234178138070235,3.5,0.7234178138070235,2.8000000000000003,0,0.5,0.5
4,9,4,2126,0,3.9,3.9,3.6,0.7830708780180757,3.5,0.7234178138070235,2.8000000000000003,0,0.0,0.0
4,9,5,1497,0,3.9,3.9,3.66,0.8131988119102904,3.5,0.7234178138070235,2.8000000000000003,0,0.0,0.0
4,9,6,1280,0,3.9,3.9,3.6999999999999997,0.8282064512704096,3.5,0.7234178138070235,2.8000000000000003,0,0.0,0.0
4,9,7,1263,0,3.9,3.9,3.728571428571428,0.8347063518852306,3.5,0.7234178138070235,2.8000000000000003,0,0.0,0.0
4,9,8,1313,0,3.9,3.9,3.7499999999999996,0.8360931312586718,3.5,0.7234178138070235,2.8000000000000003,0,0.0,0.0
4,9,9,1447,1,1.8,3.9,3.533333333333333,0.7544681717754713,3.3111111111111113,0.6538301210257095,2.8000000000000003,0,-2.1,2.1
5,10,1,2127,1,3.3,3.3,3.3,0.0,3.3,0.0,3.3111111111111113,0,,
5,10,2,2271,1,3.2,3.3,3.25,0.6169481339626532,3.25,0.6169481339626532,3.3111111111111113,0,-0.1,0.1
5,10,3,1657,1,4.0,4.0,3.5,0.7098868881303513,3.5,0.7098868881303513,3.3111111111111113,0,0.7,0.7
5,10,4,1863,1,3.3,4.0,3.45,0.6761700099478986,3.45,0.6761700099478986,3.3111111111111113,0,-0.7,0.7
5,10,5,1608,1,3.2,4.0,3.4,0.6465291950097845,3.4,0.6465291950097845,3.3111111111111113,0,-0.8,0.8
5,10,6,1600,0,4.0,4.0,3.5,0.6873863542433759,3.4,0.6465291950097845,3.3111111111111113,0,0.0,0.0
5,10,7,1192,0,4.0,4.0,3.5714285714285716,0.7180556881734572,3.4,0.6465291950097845,3.3111111111111113,0,0.0,0.0
5,10,8,1272,0,4.0,4.0,3.625,0.7403546447480424,3.4,0.6465291950097845,3.3111111111111113,0,0.0,0.0
5,10,9,1191,1,3.4,4.0,3.5999999999999996,0.7180814895546502,3.4,0.6346814262450987,3.3111111111111113,0,-0.6,0.6
5,10,10,1482,1,2.4,4.0,3.4799999999999995,0.675684837775719,3.3,0.6222941426688828,3.3111111111111113,0,-1.6,1.6
6,5,1,2197,1,4.3,4.3,4.3,0.0,4.3,0.0,3.3,0,,
6,5,2,3377,0,4.3,4.3,4.3,1.231433543244852,4.3,0.0,3.3,0,0.0,0.0
6,5,3,1661,0,4.3,4.3,4.3,1.2170303162607223,4.3,0.0,3.3,0,0.0,0.0
6,5,4,1348,0,4.3,4.3,4.3,1.2031209415515962,4.3,0.0,3.3,0,0.0,0.0
6,5,5,1766,1,3.7,4.3,4.18,1.0951407824263204,4.18,1.0951407824263204,3.3,0,-0.6,0.6
7,9,1,2052,1,2.6,2.6,2.6,0.0,2.6,0.0,4.18,0,,
7,9,2,4121,1,3.9,3.9,3.25,0.6626429994203901,3.25,0.6626429994203901,4.18,1,1.3,1.3
7,9,3,1784,1,4.0,4.0,3.5,0.6854135004992727,3.5,0.6854135004992727,4.18,0,0.1,0.1
7,9,4,1711,1,1.8,4.0,3.075,0.720694463836154,3.075,0.720694463836154,4.18,0,-2.2,2.2
7,9,5,1641,1,3.0,4.0,3.06,0.7180250692002335,3.06,0.7180250692002335,4.18,0,-1.0,1.0
7,9,6,1696,0,4.0,4.0,3.216666666666667,0.6880041229546624,3.06,0.7180250692002335,4.18,0,0.0,0.0
7,9,7,1143,0,4.0,4.0,3.3285714285714287,0.6839348477604879,3.06,0.7180250692002335,4.18,0,0.0,0.0
7,9,8,1377,0,4.0,4.0,3.4125,0.6895552470101617,3.06,0.7180250692002335,4.18,0,0.0,0.0
7,9,9,1266,0,4.0,4.0,3.477777777777778,0.6981604282248419,3.06,0.7180250692002335,4.18,0,0.0,0.0
8,7,1,2287,1,4.0,4.0,4.0,0.0,4.0,0.0,3.06,0,,
8,7,2,2601,0,4.0,4.0,4.0,0.9362730065836261,4.0,0.0,3.06,0,0.0,0.0
8,7,3,1296,0,4.0,4.0,4.0,0.9280237444028243,4.0,0.0,3.06,0,0.0,0.0
8,7,4,1200,0,4.0,4.0,4.0,0.9199887555534728,4.0,0.0,3.06,0,0.0,0.0
8,7,5,1187,1,3.2,4.0,3.84,0.8181873309179115,3.84,0.8181873309179115,3.06,0,-0.8,0.8
8,7,6,1468,1,4.0,4.0,3.8666666666666667,0.8267405880927826,3.8666666666666667,0.8267405880927826,3.06,0,0.0,0.0
8,7,7,1416,0,4.0,4.0,3.8857142857142857,0.8311375107202957,3.8666666666666667,0.8267405880927826,3.06,0,0.0,0.0
9,9,1,2521,1,3.3,3.3,3.3,0.0,3.3,0.0,3.8666666666666667,0,,
9,9,2,1581,1,3.3,3.3,3.3,0.6695177131741686,3.3,0.6695177131741686,3.8666666666666667,0,0.0,0.0
9,9,3,1208,1,2.7,3.3,3.1,0.7215434844830905,3.1,0.7215434844830905,3.8666666666666667,0,-0.6,0.6
9,9,4,1227,1,3.3,3.3,3.1500000000000004,0.6981569142557257,3.1500000000000004,0.6981569142557257,3.8666666666666667,0,0.0,0.0
9,9,5,1407,1,3.2,3.3,3.16,0.6896156153754763,3.16,0.6896156153754763,3.8666666666666667,0,-0.1,0.1
9,9,6,1511,1,3.4,3.4,3.1999999999999997,0.6732633824065826,3.1999999999999997,0.6732633824065826,3.8666666666666667,0,0.1,0.1
9,9,7,1543,1,2.8,3.4,3.142857142857143,0.6869496050686408,3.142857142857143,0.6869496050686408,3.8666666666666667,0,-0.6,0.6
9,9,8,1713,1,3.1,3.4,3.1375,0.6837612437143515,3.1375,0.6837612437143515,3.8666666666666667,0,-0.3,0.3
9,9,9,1607,0,3.4,3.4,3.1666666666666665,0.6702285798191161,3.1375,0.6837612437143515,3.8666666666666667,0,0.0,0.0
10,7,1,1791,1,2.8,2.8,2.8,0.0,2.8,0.0,3.1375,0,,
10,7,2,1463,1,3.2,3.2,3.0,0.7282017424984492,3.0,0.7282017424984492,3.1375,1,0.4,0.4
10,7,3,1345,1,2.8,3.2,2.9333333333333336,0.758131966841948,2.9333333333333336,0.758131966841948,3.1375,1,-0.4,0.4
10,7,4,1096,1,2.1,3.2,2.725,0.8869264419970313,2.725,0.8869264419970313,3.1375,1,-1.1,1.1
10,7,5,1631,1,4.5,4.5,3.08,0.707747600961435,3.08,0.707747600961435,3.1375,1,1.3,1.3
10,7,6,1608,0,4.5,4.5,3.3166666666666664,0.6649869189233584,3.08,0.707747600961435,3.1375,0,0.0,0.0
10,7,7,1119,0,4.5,4.5,3.4857142857142853,0.6797631367453829,3.08,0.707747600961435,3.1375,0,0.0,0.0
11,9,1,1614,1,2.4,2.4,2.4,0.0,2.4,0.0,3.08,0,,
11,9,2,1455,1,3.4,3.4,2.9,0.8182259289988775,2.9,0.8182259289988775,3.08,1,1.0,1.0
11,9,3,1225,1,2.3,3.4,2.6999999999999997,0.9418731337075076,2.6999999999999997,0.9418731337075076,3.08,1,-1.1,1.1
11,9,4,1137,1,3.1,3.4,2.8,0.8706461344070994,2.8,0.8706461344070994,3.08,1,-0.3,0.3
11,9,5,1199,1,2.9,3.4,2.82,0.8529346756789818,2.82,0.8529346756789818,3.08,1,-0.5,0.5
11,9,6,1434,1,1.6,3.4,2.6166666666666667,0.9914679528217526,2.6166666666666667,0.9914679528217526,3.08,1,-1.8,1.8
11,9,7,1431,1,2.5,3.4,2.6,0.997496867163,2.6,0.997496867163,3.08,1,-0.9,0.9
11,9,8,1383,1,2.4,3.4,2.5749999999999997,1.0097356963436463,2.5749999999999997,1.0097356963436463,3.08,1,-1.0,1.0
11,9,9,1393,1,2.9,3.4,2.6111111111111107,0.9787572906758375,2.6111111111111107,0.9787572906758375,3.08,1,-0.5,0.5
12,9,1,3529,1,3.2,3.2,3.2,0.0,3.2,0.0,2.6111111111111107,0,,
12,9,2,3340,1,2.2,3.2,2.7,0.9111057218367341,2.7,0.9111057218367341,2.6111111111111107,0,-1.0,1.0
12,9,3,3570,1,3.5,3.5,2.966666666666667,0.7652975888506537,2.966666666666667,0.7652975888506537,2.6111111111111107,1,0.3,0.3
12,9,4,1526,1,3.3,3.5,3.05,0.7306389897434529,3.05,0.7306389897434529,2.6111111111111107,1,-0.2,0.2
12,9,5,1337,1,3.3,3.5,3.1,0.7122939262429782,3.1,0.7122939262429782,2.6111111111111107,0,-0.2,0.2
12,9,6,1504,1,3.8,3.8,3.216666666666667,0.6896666561595953,3.216666666666667,0.6896666561595953,2.6111111111111107,0,0.3,0.3
12,9,7,1552,0,3.8,3.8,3.3000000000000003,0.6836807404327766,3.216666666666667,0.6896666561595953,2.6111111111111107,0,0.0,0.0
12,9,8,1227,0,3.8,3.8,3.3625000000000003,0.6844565129247485,3.216666666666667,0.6896666561595953,2.6111111111111107,0,0.0,0.0
12,9,9,1109,0,3.8,3.8,3.4111111111111114,0.687809945491928,3.216666666666667,0.6896666561595953,2.6111111111111107,0,0.0,0.0
13,7,1,1975,1,2.1,2.1,2.1,0.0,2.1,0.0,3.216666666666667,0,,
13,7,2,1503,1,1.9,2.1,2.0,1.4604052537411112,2.0,1.4604052537411112,3.216666666666667,1,-0.2,0.2
13,7,3,1231,1,3.4,3.4,2.466666666666667,1.0727082305295346,2.466666666666667,1.0727082305295346,3.216666666666667,1,1.3,1.3
13,7,4,1505,1,3.1,3.4,2.625,0.9539755995016037,2.625,0.9539755995016037,3.216666666666667,1,-0.3,0.3
13,7,5,1432,1,2.9,3.4,2.68,0.9126445091052704,2.68,0.9126445091052704,3.216666666666667,1,-0.5,0.5
13,7,6,2167,0,3.4,3.4,2.8000000000000003,0.8368966719995725,2.68,0.9126445091052704,3.216666666666667,1,0.0,0.0
13,7,7,993,0,3.4,3.4,2.8857142857142857,0.7887032528958221,2.68,0.9126445091052704,3.216666666666667,1,0.0,0.0
14,9,1,1917,1,3.8,3.8,3.8,0.0,3.8,0.0,2.68,0,,
14,9,2,1316,1,3.1,3.8,3.45,0.6984873766823675,3.45,0.6984873766823675,2.68,0,-0.7,0.7
14,9,3,1484,1,2.2,3.8,3.0333333333333337,0.7242292016398789,3.0333333333333337,0.7242292016398789,2.68,0,-1.6,1.6
14,9,4,1360,1,3.3,3.8,3.1000000000000005,0.7018842564368872,3.1000000000000005,0.7018842564368872,2.68,0,-0.5,0.5
14,9,5,1483,1,3.8,3.8,3.2400000000000007,0.6798790436678361,3.2400000000000007,0.6798790436678361,2.68,0,0.0,0.0
14,9,6,1470,0,3.8,3.8,3.333333333333334,0.679324283005901,3.2400000000000007,0.6798790436678361,2.68,0,0.0,0.0
14,9,7,1087,0,3.8,3.8,3.400000000000001,0.685364699004991,3.2400000000000007,0.6798790436678361,2.68,0,0.0,0.0
14,9,8,1177,0,3.8,3.8,3.4500000000000006,0.6929187280167595,3.2400000000000007,0.6798790436678361,2.68,0,0.0,0.0
14,9,9,1256,0,3.8,3.8,3.4888888888888894,0.7002168499617129,3.2400000000000007,0.6798790436678361,2.68,0,0.0,0.0
15,10,1,8301,1,3.4,3.4,3.4,0.0,3.4,0.0,3.2400000000000007,0,,
15,10,2,1355,1,2.5,3.4,2.95,0.7534140583788119,2.95,0.7534140583788119,3.2400000000000007,0,-0.9,0.9
15,10,3,1333,1,3.6,3.6,3.1666666666666665,0.6813943392882238,3.1666666666666665,0.6813943392882238,3.2400000000000007,1,0.2,0.2
15,10,4,1544,1,2.8,3.6,3.075,0.7016866326464988,3.075,0.7016866326464988,3.2400000000000007,0,-0.8,0.8
15,10,5,1185,1,3.3,3.6,3.12,0.6864853013470261,3.12,0.6864853013470261,3.2400000000000007,0,-0.3,0.3
15,10,6,1192,1,2.7,3.6,3.0500000000000003,0.7047609766353654,3.0500000000000003,0.7047609766353654,3.2400000000000007,0,-0.9,0.9
15,10,7,1224,1,3.3,3.6,3.085714285714286,0.6910256365005091,3.085714285714286,0.6910256365005091,3.2400000000000007,0,-0.3,0.3
15,10,8,1478,0,3.6,3.6,3.1500000000000004,0.6737422143732507,3.085714285714286,0.6910256365005091,3.2400000000000007,0,0.0,0.0
15,10,9,1020,0,3.6,3.6,3.2000000000000006,0.6635761699558937,3.085714285714286,0.6910256365005091,3.2400000000000007,0,0.0,0.0
15,10,10,1246,0,3.6,3.6,3.2400000000000007,0.6574279962459264,3.085714285714286,0.6910256365005091,3.2400000000000007,0,0.0,0.0
16,10,1,1831,1,2.5,2.5,2.5,0.0,2.5,0.0,3.085714285714286,0,,
16,10,2,1632,1,3.5,3.5,3.0,0.7146549568267704,3.0,0.7146549568267704,3.085714285714286,1,1.0,1.0
16,10,3,1311,1,3.3,3.5,3.1,0.6780546176497354,3.1,0.6780546176497354,3.085714285714286,1,-0.2,0.2
16,10,4,1363,1,2.8,3.5,3.0250000000000004,0.7000178569150931,3.0250000000000004,0.7000178569150931,3.085714285714286,0,-0.7,0.7
16,10,5,1365,1,3.7,3.7,3.16,0.6611774009715966,3.16,0.6611774009715966,3.085714285714286,0,0.2,0.2
