trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,5,1,5422,1,2.5,2.5,2.5,0.0,2.5,0.0,0.0,0,,
1,5,2,5874,1,4.2,4.2,3.35,0.8500000000000001,3.35,0.8500000000000001,0.0,1,1.7,1.7
1,5,3,5519,0,4.2,4.2,3.6333333333333333,0.8013876853447539,3.35,0.8500000000000001,0.0,0,0.0,0.0
1,5,4,4752,1,1.7000000000000002,4.2,3.1500000000000004,1.0874281585465773,2.9375,1.1079965027020617,0.0,0,-2.5,2.5
1,5,5,2647,0,4.2,4.2,3.3600000000000003,1.0594338110519221,2.9375,1.1079965027020617,0.0,0,0.0,0.0
2,9,1,3141,1,2.0,2.0,2.0,0.0,2.0,0.0,2.9375,0,,
2,9,2,3759,1,3.3,3.3,2.65,1.1324751652906127,2.65,1.1324751652906127,2.9375,1,1.3,1.3
2,9,3,2376,1,3.5,3.5,2.9333333333333336,0.9905105305402416,2.9333333333333336,0.9905105305402416,2.9375,1,0.2,0.2
2,9,4,2176,1,2.2,3.5,2.75,1.0111874208078344,2.75,1.0111874208078344,2.9375,1,-1.3,1.3
2,9,5,1801,0,3.5,3.5,2.9,0.9407443861113389,2.75,1.0111874208078344,2.9375,1,0.0,0.0
2,9,6,1597,0,3.5,3.5,3.0,0.8913727921276566,2.75,1.0111874208078344,2.9375,1,0.0,0.0
2,9,7,1890,0,3.5,3.5,3.0714285714285716,0.8525771256033325,2.75,1.0111874208078344,2.9375,1,0.0,0.0
2,9,8,1584,1,3.8,3.8,3.1625,0.8304670256965238,2.88125,0.9008359499119948,2.9375,0,0.3,0.3
2,9,9,2694,0,3.8,3.8,3.2333333333333334,0.8111817755693684,2.88125,0.9008359499119948,2.9375,0,0.0,0.0
3,10,1,2583,1,3.1,3.1,3.1,0.0,3.1,0.0,2.88125,0,,
3,10,2,2079,1,3.0,3.1,3.05,0.7874007874011811,3.05,0.7874007874011811,2.88125,0,-0.1,0.1
3,10,3,1609,1,2.7,3.1,2.9333333333333336,0.8021621109773146,2.9333333333333336,0.8021621109773146,2.88125,0,-0.4,0.4
3,10,4,1695,1,2.6,3.1,2.85,0.8139410298049854,2.85,0.8139410298049854,2.88125,1,-0.5,0.5
3,10,5,1633,1,2.9,3.1,2.8600000000000003,0.7883493748599697,2.8600000000000003,0.7883493748599697,2.88125,1,-0.2,0.2
3,10,6,2416,1,3.2,3.2,2.9166666666666665,0.7511842502194637,2.9166666666666665,0.7511842502194637,2.88125,1,0.1,0.1
3,10,7,2169,1,3.5,3.5,3.0,0.7181324987175317,3.0,0.7181324987175317,2.88125,1,0.3,0.3
3,10,8,2175,1,2.7,3.5,2.9625,0.71417267774423,2.9625,0.71417267774423,2.88125,1,-0.8,0.8
3,10,9,1671,0,3.5,3.5,3.022222222222222,0.6915369084579127,2.9625,0.71417267774423,2.88125,1,0.0,0.0
3,10,10,1600,0,3.5,3.5,3.07,0.6737210105080589,2.9625,0.71417267774423,2.88125,0,0.0,0.0
4,9,1,5277,1,2.8,2.8,2.8,0.0,2.8,0.0,2.9625,0,,
4,9,2,1803,1,2.0,2.8,2.4,0.9980750703999406,2.4,0.9980750703999406,2.9625,1,-0.8,0.8
4,9,3,1629,1,3.0,3.0,2.6,0.8498365855987974,2.6,0.8498365855987974,2.9625,1,0.2,0.2
4,9,4,1521,1,3.5,3.5,2.825,0.7302763664727014,2.825,0.7302763664727014,2.9625,1,0.5,0.5
4,9,5,1527,1,2.6,3.5,2.7800000000000002,0.7384419758682045,2.7800000000000002,0.7384419758682045,2.9625,1,-0.9,0.9
