trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,6,1,8123,1,3.2,3.2,3.2,0.0,3.2,0.0,0.0,0,,
1,6,2,11600,1,3.2,3.2,3.2,0.0,3.2,0.0,0.0,0,0.0,0.0
1,6,3,6726,1,3.4,3.4,3.266666666666667,0.09428090415820621,3.266666666666667,0.09428090415820621,0.0,0,0.2,0.2
1,6,4,8112,1,3.5,3.5,3.325,0.1299038105676657,3.325,0.1299038105676657,0.0,0,0.1,0.1
1,6,5,14696,1,3.0,3.5,3.2600000000000002,0.1743559577416269,3.2600000000000002,0.1743559577416269,0.0,0,-0.5,0.5
1,6,6,8559,1,3.4,3.5,3.283333333333333,0.16749792701868146,3.283333333333333,0.16749792701868146,0.0,0,-0.1,0.1
2,7,1,3791,1,3.2,3.2,3.2,0.0,3.2,0.0,3.283333333333333,0,,
2,7,2,5767,1,2.1,3.2,2.6500000000000004,0.6304760106459243,2.6500000000000004,0.6304760106459243,3.283333333333333,0,-1.1,1.1
2,7,3,2240,1,2.6,3.2,2.6333333333333333,0.6064468466220084,2.6333333333333333,0.6064468466220084,3.283333333333333,1,-0.6,0.6
2,7,4,1727,1,3.3,3.3,2.8,0.500999001995014,2.8,0.500999001995014,3.283333333333333,1,0.1,0.1
2,7,5,2393,1,2.4,3.3,2.7199999999999998,0.5343134932704856,2.7199999999999998,0.5343134932704856,3.283333333333333,1,-0.9,0.9
2,7,6,1370,1,1.9,3.3,2.583333333333333,0.6282692274990257,2.583333333333333,0.6282692274990257,3.283333333333333,1,-1.4,1.4
2,7,7,1509,1,3.2,3.3,2.6714285714285713,0.5797336041712069,2.6714285714285713,0.5797336041712069,3.283333333333333,1,-0.1,0.1
3,7,1,1949,1,3.4,3.4,3.4,0.0,3.4,0.0,2.6714285714285713,0,,
3,7,2,1776,1,2.2,3.4,2.8,0.5391351098441528,2.8,0.5391351098441528,2.6714285714285713,0,-1.2,1.2
3,7,3,1953,1,3.6,3.6,3.0666666666666664,0.5387743291748204,3.0666666666666664,0.5387743291748204,2.6714285714285713,1,0.2,0.2
3,7,4,6496,0,3.6,3.6,3.1999999999999997,0.5677613417418189,3.0666666666666664,0.5387743291748204,2.6714285714285713,0,0.0,0.0
3,7,5,4815,0,3.6,3.6,3.28,0.587045332340035,3.0666666666666664,0.5387743291748204,2.6714285714285713,0,0.0,0.0
3,7,6,1865,0,3.6,3.6,3.3333333333333335,0.5972647203701474,3.0666666666666664,0.5387743291748204,2.6714285714285713,0,0.0,0.0
3,7,7,1327,0,3.6,3.6,3.3714285714285714,0.6013929409194583,3.0666666666666664,0.5387743291748204,2.6714285714285713,0,0.0,0.0
4,6,1,3070,1,2.8,2.8,2.8,0.0,2.8,0.0,3.0666666666666664,0,,
4,6,2,10742,1,3.5,3.5,3.15,0.5246210753746677,3.15,0.5246210753746677,3.0666666666666664,1,0.7,0.7
4,6,3,2289,1,2.1,3.5,2.8000000000000003,0.6093474770819084,2.8000000000000003,0.6093474770819084,3.0666666666666664,0,-1.4,1.4
4,6,4,1808,1,2.8,3.5,2.8,0.5965176722724428,2.8,0.5965176722724428,3.0666666666666664,1,-0.7,0.7
4,6,5,1225,1,3.4,3.5,2.92,0.5541119020558934,2.92,0.5541119020558934,3.0666666666666664,1,-0.1,0.1
4,6,6,1807,1,2.3,3.5,2.8166666666666664,0.5868392811326982,2.8166666666666664,0.5868392811326982,3.0666666666666664,1,-1.2,1.2
5,10,1,1929,1,2.5,2.5,2.5,0.0,2.5,0.0,2.8166666666666664,0,,
5,10,2,1927,1,3.2,3.2,2.85,0.5622023021754967,2.85,0.5622023021754967,2.8166666666666664,1,0.7,0.7
5,10,3,1463,1,2.2,3.2,2.6333333333333333,0.6547498132933394,2.6333333333333333,0.6547498132933394,2.8166666666666664,1,-1.0,1.0
5,10,4,1377,1,3.0,3.2,2.725,0.6010754251062562,2.725,0.6010754251062562,2.8166666666666664,1,-0.2,0.2
5,10,5,1111,1,3.9,3.9,2.96,0.5563591320999124,2.96,0.5563591320999124,2.8166666666666664,1,0.7,0.7
5,10,6,2272,0,3.9,3.9,3.1166666666666667,0.5690513548393014,2.96,0.5563591320999124,2.8166666666666664,1,0.0,0.0
5,10,7,1417,0,3.9,3.9,3.228571428571428,0.5952138523201687,2.96,0.5563591320999124,2.8166666666666664,0,0.0,0.0
5,10,8,1168,0,3.9,3.9,3.3124999999999996,0.6210833159038467,2.96,0.5563591320999124,2.8166666666666664,0,0.0,0.0
