trial_num,action,totaldays,daysleft,last_reward,muvalue,avereward,avereward_exploration,RT,stochasticity,stochasticity_exploration,gap,abs_gap,last_trial_average_reward,impulse
1.0,1.0,10.0,9.0,2.8,2.8,2.8,2.8,6112.0,0.0,0.0,,,0.0,0.0
1.0,1.0,10.0,8.0,2.6,2.8,2.7,2.7,7000.0,0.09999999999999987,0.09999999999999987,-0.2,0.2,0.0,1.0
1.0,1.0,10.0,7.0,3.9,3.9,3.1,3.1,3304.0,0.5715476066494082,0.5715476066494082,1.1,1.1,0.0,1.0
1.0,1.0,10.0,6.0,3.1,3.9,3.1,3.1,2447.0,0.49497474683058323,0.49497474683058323,-0.8,0.8,0.0,0.0
1.0,1.0,10.0,5.0,3.7,3.9,3.22,3.22,2392.0,0.5035871324805669,0.5035871324805669,-0.2,0.2,0.0,0.0
1.0,1.0,10.0,4.0,4.3,4.3,3.4000000000000004,3.4000000000000004,2352.0,0.6110100926607787,0.6110100926607787,0.4,0.4,0.0,0.0
1.0,1.0,10.0,3.0,3.4,4.3,3.4,3.4,2216.0,0.5656854249492379,0.5656854249492379,-0.9,0.9,0.0,0.0
1.0,1.0,10.0,2.0,3.3,4.3,3.3875,3.3875,2127.0,0.5301827515112124,0.5301827515112124,-1.0,1.0,0.0,0.0
1.0,1.0,10.0,1.0,3.9,4.3,3.4444444444444446,3.4444444444444446,18313.0,0.5251689910265099,0.5251689910265099,-0.4,0.4,0.0,0.0
2.0,1.0,9.0,8.0,2.9,2.9,2.9,2.9,1905.0,0.0,0.0,,,3.4299999999999997,0.0
2.0,1.0,9.0,7.0,2.5,2.9,2.7,2.7,1568.0,0.8118907972545731,0.8118907972545731,-0.4,0.4,3.4299999999999997,1.0
2.0,1.0,9.0,6.0,3.7,3.7,3.0333333333333337,3.0333333333333337,2071.0,0.608978407543897,0.608978407543897,0.8,0.8,3.4299999999999997,1.0
2.0,1.0,9.0,5.0,2.9,3.7,3.0000000000000004,3.0000000000000004,1696.0,0.6041522986797283,0.6041522986797283,-0.8,0.8,3.4299999999999997,0.0
2.0,1.0,9.0,4.0,3.4,3.7,3.0800000000000005,3.0800000000000005,2688.0,0.5546169849544816,0.5546169849544816,-0.3,0.3,3.4299999999999997,0.0
2.0,1.0,9.0,3.0,2.5,3.7,2.983333333333334,2.983333333333334,1819.0,0.5950023342624611,0.5950023342624611,-1.2,1.2,3.4299999999999997,0.0
2.0,1.0,9.0,2.0,2.6,3.7,2.9285714285714293,2.9285714285714293,1550.0,0.609222833603923,0.609222833603923,-1.1,1.1,3.4299999999999997,1.0
2.0,1.0,9.0,1.0,1.7000000000000002,3.7,2.7750000000000004,2.7750000000000004,1712.0,0.7228896488707278,0.7228896488707278,-2.0,2.0,3.4299999999999997,1.0
3.0,1.0,10.0,9.0,2.0,2.0,2.0,2.0,1815.0,0.0,0.0,,,2.7333333333333334,0.0
3.0,1.0,10.0,8.0,2.9,2.9,2.45,2.45,1577.0,0.8721211143500872,0.8721211143500872,0.9,0.9,2.7333333333333334,1.0
3.0,1.0,10.0,7.0,2.6,2.9,2.5,2.5,1327.0,0.8201995322647243,0.8201995322647243,-0.3,0.3,2.7333333333333334,1.0
3.0,1.0,10.0,6.0,4.0,4.0,2.875,2.875,1512.0,0.679173890776908,0.679173890776908,1.1,1.1,2.7333333333333334,1.0
3.0,1.0,10.0,5.0,2.6,4.0,2.82,2.82,1392.0,0.6830568546370549,0.6830568546370549,-1.4,1.4,2.7333333333333334,1.0
3.0,1.0,10.0,4.0,3.1,4.0,2.8666666666666667,2.8666666666666667,1304.0,0.65750369665205,0.65750369665205,-0.9,0.9,2.7333333333333334,1.0
3.0,1.0,10.0,3.0,3.2,4.0,2.914285714285714,2.914285714285714,1368.0,0.6362110665440304,0.6362110665440304,-0.8,0.8,2.7333333333333334,1.0
3.0,1.0,10.0,2.0,3.7,4.0,3.0124999999999997,3.0124999999999997,1208.0,0.6252175547285447,0.6252175547285447,-0.3,0.3,2.7333333333333334,1.0
3.0,1.0,10.0,1.0,2.9,4.0,2.9999999999999996,2.9999999999999996,1224.0,0.6155717435267569,0.6155717435267569,-1.1,1.1,2.7333333333333334,0.0
4.0,1.0,8.0,7.0,2.9,2.9,2.9,2.9,1664.0,0.0,0.0,,,2.9499999999999997,0.0
4.0,1.0,8.0,6.0,2.2,2.9,2.55,2.55,1456.0,0.7670113764559842,0.7670113764559842,-0.7,0.7,2.9499999999999997,1.0
4.0,0.0,8.0,5.0,3.7,3.7,2.9333333333333336,2.9333333333333336,2143.0,0.6200358412579424,0.6200358412579424,0.8,0.8,2.9499999999999997,1.0
4.0,0.0,8.0,4.0,3.7,3.7,3.125,2.9333333333333336,1288.0,0.6162109290583129,0.6200358412579424,0.0,0.0,2.9499999999999997,1.0
