trial_num,action,totaldays,daysleft,last_reward,muvalue,avereward,avereward_exploration,RT,stochasticity,stochasticity_exploration,gap,abs_gap,last_trial_average_reward,impulse
1.0,1.0,9.0,8.0,2.2,2.2,2.2,2.2,7453.0,0.0,0.0,,,0.0,0.0
1.0,1.0,9.0,7.0,3.2,3.2,2.7,2.7,8392.0,0.5,0.5,1.0,1.0,0.0,1.0
1.0,1.0,9.0,6.0,3.3,3.3,2.9,2.9,5472.0,0.4966554808583779,0.4966554808583779,0.1,0.1,0.0,1.0
1.0,1.0,9.0,5.0,4.2,4.2,3.2249999999999996,3.2249999999999996,6081.0,0.7084313657652377,0.7084313657652377,0.9,0.9,0.0,1.0
1.0,1.0,9.0,4.0,4.1,4.2,3.4,3.4,5352.0,0.7238784428341541,0.7238784428341541,-0.1,0.1,0.0,0.0
1.0,1.0,9.0,3.0,3.2,4.2,3.3666666666666667,3.3666666666666667,3079.0,0.664997911442,0.664997911442,-1.0,1.0,0.0,0.0
1.0,0.0,9.0,2.0,4.1,4.2,3.471428571428571,3.471428571428571,4168.0,0.6670067159959285,0.6670067159959285,-0.1,0.1,0.0,0.0
1.0,0.0,9.0,1.0,4.2,4.2,3.5624999999999996,3.471428571428571,2543.0,0.6688376110835872,0.6670067159959285,0.0,0.0,0.0,0.0
2.0,1.0,7.0,6.0,2.8,2.8,2.8,2.8,3567.0,0.0,0.0,,,3.471428571428571,0.0
2.0,1.0,7.0,5.0,3.6,3.6,3.2,3.2,3408.0,0.73546522073385,0.73546522073385,0.8,0.8,3.471428571428571,1.0
2.0,1.0,7.0,4.0,3.1,3.6,3.1666666666666665,3.1666666666666665,1671.0,0.7203394261658103,0.7203394261658103,-0.5,0.5,3.471428571428571,0.0
2.0,1.0,7.0,3.0,1.9,3.6,2.85,2.85,1825.0,0.9195525667828472,0.9195525667828472,-1.7,1.7,3.471428571428571,0.0
2.0,0.0,7.0,2.0,2.4,3.6,2.7600000000000002,2.7600000000000002,4215.0,0.9447751055145346,0.9447751055145346,-1.2,1.2,3.471428571428571,1.0
2.0,1.0,7.0,1.0,3.6,3.6,2.9000000000000004,2.7600000000000002,3858.0,0.8586811592979859,0.9447751055145346,0.0,0.0,3.471428571428571,1.0
3.0,1.0,8.0,7.0,2.1,2.1,2.1,2.1,2381.0,0.0,0.0,,,2.7085714285714286,0.0
3.0,1.0,8.0,6.0,3.8,3.8,2.95,2.95,4041.0,0.8227663364798321,0.8227663364798321,1.7,1.7,2.7085714285714286,1.0
3.0,1.0,8.0,5.0,3.5,3.8,3.1333333333333333,3.1333333333333333,1487.0,0.7602323436780818,0.7602323436780818,-0.3,0.3,2.7085714285714286,1.0
3.0,1.0,8.0,4.0,2.9,3.8,3.075,3.075,1529.0,0.7534089195118412,0.7534089195118412,-0.9,0.9,2.7085714285714286,0.0
3.0,1.0,8.0,3.0,2.0,3.8,2.8600000000000003,2.8600000000000003,2663.0,0.829101636598025,0.829101636598025,-1.8,1.8,2.7085714285714286,0.0
3.0,0.0,8.0,2.0,3.3,3.8,2.9333333333333336,2.9333333333333336,2393.0,0.7889706886030351,0.7889706886030351,-0.5,0.5,2.7085714285714286,1.0
3.0,1.0,8.0,1.0,3.8,3.8,3.0571428571428574,2.9333333333333336,1313.0,0.7577168807277823,0.7889706886030351,0.0,0.0,2.7085714285714286,1.0
4.0,1.0,7.0,6.0,3.4,3.4,3.4,3.4,2951.0,0.0,0.0,,,2.941666666666667,0.0
4.0,1.0,7.0,5.0,2.5,3.4,2.95,2.95,1697.0,0.750512645309345,0.750512645309345,-0.9,0.9,2.941666666666667,0.0
4.0,0.0,7.0,4.0,3.7,3.7,3.2000000000000006,3.2000000000000006,2806.0,0.706320670013903,0.706320670013903,0.3,0.3,2.941666666666667,1.0
4.0,0.0,7.0,3.0,3.7,3.7,3.325,3.2000000000000006,1756.0,0.7072961594288896,0.706320670013903,0.0,0.0,2.941666666666667,0.0
4.0,0.0,7.0,2.0,3.7,3.7,3.4,3.2000000000000006,1502.0,0.7117244720662139,0.706320670013903,0.0,0.0,2.941666666666667,0.0
4.0,0.0,7.0,1.0,3.7,3.7,3.4499999999999997,3.2000000000000006,1256.0,0.7140261433122272,0.706320670013903,0.0,0.0,2.941666666666667,0.0
5.0,1.0,8.0,7.0,2.4,2.4,2.4,2.4,2064.0,0.0,0.0,,,3.2000000000000006,0.0
5.0,1.0,8.0,6.0,3.2,3.2,2.8,2.8,2073.0,0.8058498243431834,0.8058498243431834,0.8,0.8,3.2000000000000006,1.0
5.0,1.0,8.0,5.0,3.9,3.9,3.1666666666666665,3.1666666666666665,2816.0,0.6810699003408731,0.6810699003408731,0.7,0.7,3.2000000000000006,1.0
5.0,0.0,8.0,4.0,3.1,3.9,3.15,3.15,2066.0,0.6737422143732508,0.6737422143732508,-0.8,0.8,3.2000000000000006,0.0
5.0,0.0,8.0,3.0,3.9,3.9,3.3,3.15,1973.0,0.6654154925892376,0.6737422143732508,0.0,0.0,3.2000000000000006,0.0
5.0,0.0,8.0,2.0,3.9,3.9,3.4,3.15,1376.0,0.672831853216465,0.6737422143732508,0.0,0.0,3.2000000000000006,0.0
5.0,0.0,8.0,1.0,3.9,3.9,3.471428571428571,3.15,1912.0,0.6826450735597703,0.6737422143732508,0.0,0.0,3.2000000000000006,0.0
6.0,0.0,10.0,9.0,3.6,3.6,3.6,3.6,6288.0,0.0,0.0,,,3.15,0.0
6.0,0.0,10.0,8.0,3.6,3.6,3.6,3.6,1331.0,0.6993027886716187,0.0,0.0,0.0,3.15,0.0
6.0,0.0,10.0,7.0,3.6,3.6,3.6,3.6,1453.0,0.690927602850655,0.0,0.0,0.0,3.15,0.0
6.0,0.0,10.0,6.0,3.6,3.6,3.6,3.6,1353.0,0.6828463002517052,0.0,0.0,0.0,3.15,0.0
6.0,0.0,10.0,5.0,3.6,3.6,3.6,3.6,1359.0,0.67504208623005,0.0,0.0,0.0,3.15,0.0
6.0,0.0,10.0,4.0,3.6,3.6,3.6,3.6,1103.0,0.6674994798166929,0.0,0.0,0.0,3.15,0.0
6.0,0.0,10.0,3.0,3.6,3.6,3.6000000000000005,3.6,1329.0,0.660204184489459,0.0,0.0,0.0,3.15,0.0
6.0,0.0,10.0,2.0,3.6,3.6,3.6000000000000005,3.6,1216.0,0.6531429741494976,0.0,0.0,0.0,3.15,0.0
6.0,0.0,10.0,1.0,3.6,3.6,3.6000000000000005,3.6,1447.0,0.6463035922330415,0.0,0.0,0.0,3.15,0.0
7.0,1.0,10.0,9.0,3.1,3.1,3.1,3.1,3825.0,0.0,0.0,,,3.6,0.0
7.0,1.0,10.0,8.0,3.1,3.1,3.1,3.1,1623.0,0.6477714435950808,0.6477714435950808,0.0,0.0,3.6,0.0
7.0,0.0,10.0,7.0,4.1,4.1,3.4333333333333336,3.4333333333333336,2350.0,0.5955676743249709,0.5955676743249709,1.0,1.0,3.6,0.0
7.0,0.0,10.0,6.0,4.1,4.1,3.6,3.4333333333333336,1603.0,0.6302140995889848,0.5955676743249709,0.0,0.0,3.6,0.0
7.0,0.0,10.0,5.0,4.1,4.1,3.7,3.4333333333333336,1103.0,0.6655546280831973,0.5955676743249709,0.0,0.0,3.6,0.0
7.0,0.0,10.0,4.0,4.1,4.1,3.766666666666667,3.4333333333333336,987.0,0.6925286705949147,0.5955676743249709,0.0,0.0,3.6,0.0
7.0,0.0,10.0,3.0,4.1,4.1,3.8142857142857145,3.4333333333333336,1292.0,0.7121396331779726,0.5955676743249709,0.0,0.0,3.6,0.0
7.0,0.0,10.0,2.0,4.1,4.1,3.8500000000000005,3.4333333333333336,1201.0,0.7262315613506168,0.5955676743249709,0.0,0.0,3.6,0.0
7.0,0.0,10.0,1.0,4.1,4.1,3.877777777777778,3.4333333333333336,1267.0,0.7362764579713201,0.5955676743249709,0.0,0.0,3.6,0.0
8.0,1.0,9.0,8.0,3.4,3.4,3.4,3.4,1889.0,0.0,0.0,,,3.4333333333333336,0.0
8.0,0.0,9.0,7.0,4.6,4.6,4.0,4.0,2231.0,0.7998975344216097,0.7998975344216097,1.2,1.2,3.4333333333333336,0.0
8.0,0.0,9.0,6.0,4.6,4.6,4.2,4.0,1504.0,0.9352419041910165,0.7998975344216097,0.0,0.0,3.4333333333333336,0.0
8.0,0.0,9.0,5.0,4.6,4.6,4.300000000000001,4.0,1179.0,1.0047506205640335,0.7998975344216097,0.0,0.0,3.4333333333333336,0.0
8.0,0.0,9.0,4.0,4.6,4.6,4.360000000000001,4.0,1598.0,1.0442431469729654,0.7998975344216097,0.0,0.0,3.4333333333333336,0.0
8.0,0.0,9.0,3.0,4.6,4.6,4.400000000000001,4.0,1048.0,1.068067989769019,0.7998975344216097,0.0,0.0,3.4333333333333336,0.0
8.0,0.0,9.0,2.0,4.6,4.6,4.42857142857143,4.0,1298.0,1.0827925485308765,0.7998975344216097,0.0,0.0,3.4333333333333336,0.0
8.0,0.0,9.0,1.0,4.6,4.6,4.450000000000001,4.0,1373.0,1.0918114483764914,0.7998975344216097,0.0,0.0,3.4333333333333336,0.0
9.0,1.0,5.0,4.0,2.8,2.8,2.8,2.8,2561.0,0.0,0.0,,,4.0,0.0
9.0,1.0,5.0,3.0,3.2,3.2,3.0,3.0,1976.0,0.8866469743606286,0.8866469743606286,0.4,0.4,4.0,1.0
9.0,0.0,5.0,2.0,3.3,3.3,3.1,3.1,2632.0,0.8190513234361659,0.8190513234361659,0.1,0.1,4.0,1.0
9.0,1.0,5.0,1.0,3.3,3.3,3.1500000000000004,3.1,1146.0,0.785634916626178,0.8190513234361659,0.0,0.0,4.0,0.0
10.0,1.0,9.0,8.0,2.0,2.0,2.0,2.0,2256.0,0.0,0.0,,,3.18,0.0
10.0,1.0,9.0,7.0,3.4,3.4,2.7,2.7,1615.0,1.0837588907747575,1.0837588907747575,1.4,1.4,3.18,1.0
10.0,1.0,9.0,6.0,3.5,3.5,2.966666666666667,2.966666666666667,1440.0,0.8865548669787687,0.8865548669787687,0.1,0.1,3.18,1.0
10.0,1.0,9.0,5.0,3.0,3.5,2.975,2.975,1192.0,0.875370978870873,0.875370978870873,-0.5,0.5,3.18,1.0
10.0,1.0,9.0,4.0,3.2,3.5,3.0200000000000005,3.0200000000000005,1072.0,0.8417411746660636,0.8417411746660636,-0.3,0.3,3.18,1.0
10.0,0.0,9.0,3.0,4.0,4.0,3.1833333333333336,3.1833333333333336,1897.0,0.7533492959736685,0.7533492959736685,0.5,0.5,3.18,0.0
10.0,0.0,9.0,2.0,4.0,4.0,3.3000000000000003,3.1833333333333336,1208.0,0.7050709184188494,0.7533492959736685,0.0,0.0,3.18,0.0
10.0,0.0,9.0,1.0,4.0,4.0,3.3875,3.1833333333333336,1120.0,0.6783709267042114,0.7533492959736685,0.0,0.0,3.18,0.0
11.0,0.0,7.0,6.0,4.2,4.2,4.2,4.2,2244.0,0.0,0.0,,,3.1833333333333336,0.0
11.0,0.0,7.0,5.0,4.2,4.2,4.2,4.2,1003.0,0.9052097888913719,0.0,0.0,0.0,3.1833333333333336,0.0
11.0,0.0,7.0,4.0,4.2,4.2,4.2,4.2,1114.0,0.8998692715513478,0.0,0.0,0.0,3.1833333333333336,0.0
11.0,0.0,7.0,3.0,4.2,4.2,4.2,4.2,894.0,0.8946221756749061,0.0,0.0,0.0,3.1833333333333336,0.0
11.0,0.0,7.0,2.0,4.2,4.2,4.2,4.2,913.0,0.8894658089479082,0.0,0.0,0.0,3.1833333333333336,0.0
11.0,0.0,7.0,1.0,4.2,4.2,4.2,4.2,1091.0,0.8843975864446324,0.0,0.0,0.0,3.1833333333333336,0.0
12.0,1.0,9.0,8.0,3.3,3.3,3.3,3.3,3038.0,0.0,0.0,,,4.2,0.0
12.0,1.0,9.0,7.0,3.8,3.8,3.55,3.55,1969.0,0.6488154887651331,0.6488154887651331,0.5,0.5,4.2,0.0
12.0,1.0,9.0,6.0,3.6,3.8,3.5666666666666664,3.5666666666666664,1212.0,0.6439986797477989,0.6439986797477989,-0.2,0.2,4.2,0.0
12.0,1.0,9.0,5.0,2.8,3.8,3.375,3.375,1949.0,0.6827216643462707,0.6827216643462707,-1.0,1.0,4.2,0.0
12.0,0.0,9.0,4.0,3.0,3.8,3.3,3.3,1832.0,0.7078586227399043,0.7078586227399043,-0.8,0.8,4.2,0.0
12.0,1.0,9.0,3.0,3.8,3.8,3.3833333333333333,3.3,1320.0,0.6753275142195735,0.7078586227399043,0.0,0.0,4.2,0.0
12.0,0.0,9.0,2.0,2.3,3.8,3.2285714285714286,3.157142857142857,1544.0,0.740996123540495,0.7776302196438879,-1.5,1.5,4.2,0.0
12.0,1.0,9.0,1.0,3.8,3.8,3.3000000000000003,3.157142857142857,2880.0,0.7078353818756529,0.7776302196438879,0.0,0.0,4.2,0.0
13.0,1.0,5.0,4.0,3.3,3.3,3.3,3.3,2814.0,0.0,0.0,,,3.084126984126984,0.0
13.0,0.0,5.0,3.0,3.8,3.8,3.55,3.55,1458.0,0.6487680633323437,0.6487680633323437,0.5,0.5,3.084126984126984,0.0
13.0,0.0,5.0,2.0,3.8,3.8,3.633333333333333,3.55,1039.0,0.6481419665481322,0.6487680633323437,0.0,0.0,3.084126984126984,0.0
13.0,1.0,5.0,1.0,3.8,3.8,3.675,3.55,1424.0,0.6501036870542795,0.6487680633323437,0.0,0.0,3.084126984126984,0.0
14.0,1.0,9.0,8.0,3.8,3.8,3.8,3.8,2544.0,0.0,0.0,,,3.2199999999999998,0.0
14.0,1.0,9.0,7.0,1.9,3.8,2.8499999999999996,2.8499999999999996,1617.0,0.9701374473066521,0.9701374473066521,-1.9,1.9,3.2199999999999998,0.0
14.0,1.0,9.0,6.0,3.5,3.8,3.0666666666666664,3.0666666666666664,1438.0,0.8252945602093299,0.8252945602093299,-0.3,0.3,3.2199999999999998,1.0
