trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,9.0,9.0,-2.7,-2.7,,4340.0
1.0,1.0,9.0,8.0,-1.8,-1.8,0.9,6423.0
1.0,0.0,9.0,7.0,-1.8,-1.8,0.0,4232.0
1.0,1.0,9.0,6.0,-1.8,-2.4,-0.6,2247.0
1.0,0.0,9.0,5.0,-1.8,-1.8,0.0,1496.0
1.0,0.0,9.0,4.0,-1.8,-1.8,0.0,1233.0
1.0,0.0,9.0,3.0,-1.8,-1.8,0.0,2320.0
1.0,1.0,9.0,2.0,-1.8,-3.6,-1.8,2495.0
1.0,0.0,9.0,1.0,-1.8,-1.8,0.0,2812.0
2.0,1.0,6.0,6.0,-2.9,-2.9,,4340.0
2.0,1.0,6.0,5.0,-2.9,-3.1,-0.2,6423.0
2.0,1.0,6.0,4.0,-2.9,-3.5,-0.6,4232.0
2.0,0.0,6.0,3.0,-2.9,-2.9,0.0,2247.0
2.0,1.0,6.0,2.0,-1.4,-1.4,1.5,1496.0
2.0,0.0,6.0,1.0,-1.4,-1.4,0.0,1233.0
3.0,1.0,6.0,6.0,-3.1,-3.1,,4340.0
3.0,1.0,6.0,5.0,-2.5,-2.5,0.6,6423.0
3.0,1.0,6.0,4.0,-2.5,-3.0,-0.5,4232.0
3.0,0.0,6.0,3.0,-2.5,-2.5,0.0,2247.0
3.0,1.0,6.0,2.0,-2.3,-2.3,0.2,1496.0
3.0,1.0,6.0,1.0,-2.3,-3.0,-0.7,1233.0
4.0,1.0,7.0,7.0,-3.3,-3.3,,4340.0
4.0,1.0,7.0,6.0,-3.1,-3.1,0.2,6423.0
4.0,1.0,7.0,5.0,-3.1,-3.5,-0.4,4232.0
4.0,1.0,7.0,4.0,-2.2,-2.2,0.9,2247.0
4.0,1.0,7.0,3.0,-2.2,-4.2,-2.0,1496.0
4.0,0.0,7.0,2.0,-2.2,-2.2,0.0,1233.0
4.0,0.0,7.0,1.0,-2.2,-2.2,0.0,2320.0
5.0,1.0,5.0,5.0,-2.5,-2.5,,4340.0
5.0,1.0,5.0,4.0,-2.5,-3.3,-0.8,6423.0
5.0,0.0,5.0,3.0,-2.5,-2.5,0.0,4232.0
5.0,0.0,5.0,2.0,-2.5,-2.5,0.0,2247.0
5.0,0.0,5.0,1.0,-2.5,-2.5,0.0,1496.0
6.0,1.0,5.0,5.0,-2.7,-2.7,,4340.0
6.0,1.0,5.0,4.0,-2.7,-3.7,-1.0,6423.0
6.0,0.0,5.0,3.0,-2.7,-2.7,0.0,4232.0
6.0,0.0,5.0,2.0,-2.7,-2.7,0.0,2247.0
6.0,1.0,5.0,1.0,-2.7,-2.8,-0.1,1496.0
7.0,1.0,10.0,10.0,-2.3,-2.3,,4340.0
7.0,1.0,10.0,9.0,-2.3,-2.6,-0.3,6423.0
7.0,1.0,10.0,8.0,-2.3,-2.6,-0.3,4232.0
7.0,1.0,10.0,7.0,-2.3,-2.7,-0.4,2247.0
7.0,1.0,10.0,6.0,-2.3,-2.6,-0.3,1496.0
7.0,1.0,10.0,5.0,-2.2,-2.2,0.1,1233.0
7.0,1.0,10.0,4.0,-2.2,-3.6,-1.4,2320.0
7.0,0.0,10.0,3.0,-2.2,-2.2,0.0,2495.0
7.0,0.0,10.0,2.0,-2.2,-2.2,0.0,2812.0
7.0,0.0,10.0,1.0,-2.2,-2.2,0.0,4873.0
8.0,1.0,5.0,5.0,-3.0,-3.0,,4340.0
8.0,1.0,5.0,4.0,-2.9,-2.9,0.1,6423.0
