trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,7.0,7.0,-3.0,-3.0,,7312.0
1.0,1.0,7.0,6.0,-3.0,-4.6,-1.6,3377.0
1.0,1.0,7.0,5.0,-3.0,-3.8,-0.8,2369.0
1.0,1.0,7.0,4.0,-3.0,-3.5,-0.5,2135.0
1.0,1.0,7.0,3.0,-3.0,-4.2,-1.2,3433.0
1.0,1.0,7.0,2.0,-2.9,-2.9,0.1,2711.0
1.0,1.0,7.0,1.0,-2.6,-2.6,0.3,3157.0
2.0,1.0,8.0,8.0,-3.6,-3.6,,7312.0
2.0,1.0,8.0,7.0,-3.3,-3.3,0.3,3377.0
2.0,1.0,8.0,6.0,-2.6,-2.6,0.7,2369.0
2.0,1.0,8.0,5.0,-2.6,-2.7,-0.1,2135.0
2.0,1.0,8.0,4.0,-2.6,-2.6,0.0,3433.0
2.0,0.0,8.0,3.0,-2.6,-2.6,0.0,2711.0
2.0,1.0,8.0,2.0,-2.5,-2.5,0.1,3157.0
2.0,0.0,8.0,1.0,-2.5,-2.5,0.0,1895.0
3.0,1.0,5.0,5.0,-3.6,-3.6,,7312.0
3.0,1.0,5.0,4.0,-2.3,-2.3,1.3,3377.0
3.0,0.0,5.0,3.0,-2.3,-2.3,0.0,2369.0
3.0,0.0,5.0,2.0,-2.3,-2.3,0.0,2135.0
3.0,0.0,5.0,1.0,-2.3,-2.3,0.0,3433.0
4.0,1.0,5.0,5.0,-1.5,-1.5,,7312.0
4.0,0.0,5.0,4.0,-1.5,-1.5,0.0,3377.0
4.0,0.0,5.0,3.0,-1.5,-1.5,0.0,2369.0
4.0,0.0,5.0,2.0,-1.5,-1.5,0.0,2135.0
4.0,0.0,5.0,1.0,-1.5,-1.5,0.0,3433.0
5.0,1.0,6.0,6.0,-2.2,-2.2,,7312.0
5.0,1.0,6.0,5.0,-2.2,-3.6,-1.4,3377.0
5.0,0.0,6.0,4.0,-2.2,-2.2,0.0,2369.0
5.0,0.0,6.0,3.0,-2.2,-2.2,0.0,2135.0
5.0,0.0,6.0,2.0,-2.2,-2.2,0.0,3433.0
5.0,0.0,6.0,1.0,-2.2,-2.2,0.0,2711.0
6.0,1.0,6.0,6.0,-2.4,-2.4,,7312.0
6.0,1.0,6.0,5.0,-2.4,-3.3,-0.9,3377.0
6.0,1.0,6.0,4.0,-2.4,-2.7,-0.3,2369.0
6.0,1.0,6.0,3.0,-2.4,-3.2,-0.8,2135.0
6.0,1.0,6.0,2.0,-2.4,-2.4,0.0,3433.0
6.0,0.0,6.0,1.0,-2.4,-2.4,0.0,2711.0
7.0,1.0,6.0,6.0,-3.2,-3.2,,7312.0
7.0,1.0,6.0,5.0,-3.0,-3.0,0.2,3377.0
7.0,1.0,6.0,4.0,-2.9,-2.9,0.1,2369.0
7.0,1.0,6.0,3.0,-2.9,-3.1,-0.2,2135.0
7.0,1.0,6.0,2.0,-2.6,-2.6,0.3,3433.0
7.0,0.0,6.0,1.0,-2.6,-2.6,0.0,2711.0
8.0,1.0,5.0,5.0,-3.7,-3.7,,7312.0
8.0,1.0,5.0,4.0,-3.0,-3.0,0.7,3377.0
8.0,1.0,5.0,3.0,-2.5,-2.5,0.5,2369.0
8.0,1.0,5.0,2.0,-2.5,-2.9,-0.4,2135.0
8.0,1.0,5.0,1.0,-2.5,-4.3,-1.8,3433.0
9.0,1.0,6.0,6.0,-2.2,-2.2,,7312.0
9.0,0.0,6.0,5.0,-2.2,-2.2,0.0,3377.0
9.0,0.0,6.0,4.0,-2.2,-2.2,0.0,2369.0
9.0,0.0,6.0,3.0,-2.2,-2.2,0.0,2135.0
9.0,0.0,6.0,2.0,-2.2,-2.2,0.0,3433.0
9.0,0.0,6.0,1.0,-2.2,-2.2,0.0,2711.0
10.0,1.0,8.0,8.0,-4.0,-4.0,,7312.0
10.0,1.0,8.0,7.0,-3.3,-3.3,0.7,3377.0
10.0,1.0,8.0,6.0,-2.9,-2.9,0.4,2369.0
10.0,1.0,8.0,5.0,-2.9,-4.3,-1.4,2135.0
10.0,1.0,8.0,4.0,-2.9,-3.6,-0.7,3433.0
10.0,1.0,8.0,3.0,-2.9,-3.0,-0.1,2711.0
10.0,1.0,8.0,2.0,-2.9,-4.0,-1.1,3157.0
10.0,1.0,8.0,1.0,-2.7,-2.7,0.2,1895.0
11.0,1.0,6.0,6.0,-2.2,-2.2,,7312.0
11.0,0.0,6.0,5.0,-2.2,-2.2,0.0,3377.0
11.0,0.0,6.0,4.0,-2.2,-2.2,0.0,2369.0
11.0,0.0,6.0,3.0,-2.2,-2.2,0.0,2135.0
11.0,0.0,6.0,2.0,-2.2,-2.2,0.0,3433.0
11.0,0.0,6.0,1.0,-2.2,-2.2,0.0,2711.0
12.0,1.0,6.0,6.0,-3.6,-3.6,,7312.0
12.0,1.0,6.0,5.0,-2.9,-2.9,0.7,3377.0
12.0,1.0,6.0,4.0,-2.0,-2.0,0.9,2369.0
12.0,0.0,6.0,3.0,-2.0,-2.0,0.0,2135.0
12.0,0.0,6.0,2.0,-2.0,-2.0,0.0,3433.0
12.0,0.0,6.0,1.0,-2.0,-2.0,0.0,2711.0
13.0,1.0,6.0,6.0,-2.6,-2.6,,7312.0
13.0,1.0,6.0,5.0,-2.6,-2.9,-0.3,3377.0
13.0,1.0,6.0,4.0,-2.5,-2.5,0.1,2369.0
13.0,1.0,6.0,3.0,-2.5,-3.0,-0.5,2135.0
13.0,1.0,6.0,2.0,-2.3,-2.3,0.2,3433.0
13.0,0.0,6.0,1.0,-2.3,-2.3,0.0,2711.0
14.0,1.0,10.0,10.0,-3.1,-3.1,,7312.0
14.0,1.0,10.0,9.0,-2.7,-2.7,0.4,3377.0
14.0,1.0,10.0,8.0,-2.7,-2.7,0.0,2369.0
14.0,1.0,10.0,7.0,-2.6,-2.6,0.1,2135.0
14.0,1.0,10.0,6.0,-2.0,-2.0,0.6,3433.0
14.0,0.0,10.0,5.0,-2.0,-2.0,0.0,2711.0
14.0,1.0,10.0,4.0,-1.8,-1.8,0.2,3157.0
14.0,1.0,10.0,3.0,-1.8,-2.5,-0.7,1895.0
14.0,0.0,10.0,2.0,-1.8,-1.8,0.0,1737.0
14.0,0.0,10.0,1.0,-1.8,-1.8,0.0,2663.0
15.0,1.0,9.0,9.0,-3.3,-3.3,,7312.0
15.0,1.0,9.0,8.0,-3.1,-3.1,0.2,3377.0
15.0,1.0,9.0,7.0,-2.5,-2.5,0.6,2369.0
15.0,1.0,9.0,6.0,-2.5,-3.4,-0.9,2135.0
15.0,1.0,9.0,5.0,-2.5,-2.6,-0.1,3433.0
15.0,1.0,9.0,4.0,-2.5,-2.9,-0.4,2711.0
15.0,1.0,9.0,3.0,-2.5,-3.2,-0.7,3157.0
15.0,1.0,9.0,2.0,-2.5,-3.8,-1.3,1895.0
15.0,0.0,9.0,1.0,-2.5,-2.5,0.0,1737.0
16.0,1.0,6.0,6.0,-3.3,-3.3,,7312.0
16.0,1.0,6.0,5.0,-2.8,-2.8,0.5,3377.0
16.0,1.0,6.0,4.0,-2.0,-2.0,0.8,2369.0
16.0,0.0,6.0,3.0,-2.0,-2.0,0.0,2135.0
16.0,0.0,6.0,2.0,-2.0,-2.0,0.0,3433.0
16.0,0.0,6.0,1.0,-2.0,-2.0,0.0,2711.0
17.0,1.0,10.0,10.0,-4.0,-4.0,,7312.0
17.0,1.0,10.0,9.0,-2.4,-2.4,1.6,3377.0
17.0,1.0,10.0,8.0,-2.4,-2.8,-0.4,2369.0
17.0,1.0,10.0,7.0,-2.1,-2.1,0.3,2135.0
17.0,0.0,10.0,6.0,-2.1,-2.1,0.0,3433.0
17.0,1.0,10.0,5.0,-2.1,-2.8,-0.7,2711.0
17.0,0.0,10.0,4.0,-2.1,-2.1,0.0,3157.0
17.0,0.0,10.0,3.0,-2.1,-2.1,0.0,1895.0
17.0,0.0,10.0,2.0,-2.1,-2.1,0.0,1737.0
17.0,0.0,10.0,1.0,-2.1,-2.1,0.0,2663.0
