trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,10.0,10.0,4.4,4.4,,8471.0
1.0,0.0,10.0,9.0,4.4,4.4,0.0,2896.0
1.0,0.0,10.0,8.0,4.4,4.4,0.0,1440.0
1.0,0.0,10.0,7.0,4.4,4.4,0.0,1056.0
1.0,0.0,10.0,6.0,4.4,4.4,0.0,1033.0
1.0,0.0,10.0,5.0,4.4,4.4,0.0,1103.0
1.0,0.0,10.0,4.0,4.4,4.4,0.0,1112.0
1.0,0.0,10.0,3.0,4.4,4.4,0.0,904.0
1.0,0.0,10.0,2.0,4.4,4.4,0.0,960.0
1.0,0.0,10.0,1.0,4.4,4.4,0.0,2773.0
2.0,1.0,8.0,8.0,2.7,2.7,,8471.0
2.0,1.0,8.0,7.0,3.4,3.4,0.7,2896.0
2.0,1.0,8.0,6.0,3.6,3.6,0.2,1440.0
2.0,0.0,8.0,5.0,3.6,3.6,0.0,1056.0
2.0,0.0,8.0,4.0,3.6,3.6,0.0,1033.0
2.0,0.0,8.0,3.0,3.6,3.6,0.0,1103.0
2.0,0.0,8.0,2.0,3.6,3.6,0.0,1112.0
2.0,0.0,8.0,1.0,3.6,3.6,0.0,904.0
3.0,1.0,7.0,7.0,3.2,3.2,,8471.0
3.0,1.0,7.0,6.0,3.8,3.8,0.6,2896.0
3.0,0.0,7.0,5.0,3.8,3.8,0.0,1440.0
3.0,0.0,7.0,4.0,3.8,3.8,0.0,1056.0
3.0,0.0,7.0,3.0,3.8,3.8,0.0,1033.0
3.0,0.0,7.0,2.0,3.8,3.8,0.0,1103.0
3.0,0.0,7.0,1.0,3.8,3.8,0.0,1112.0
4.0,1.0,10.0,10.0,3.6,3.6,,8471.0
4.0,0.0,10.0,9.0,3.6,3.6,0.0,2896.0
4.0,0.0,10.0,8.0,3.6,3.6,0.0,1440.0
4.0,0.0,10.0,7.0,3.6,3.6,0.0,1056.0
4.0,0.0,10.0,6.0,3.6,3.6,0.0,1033.0
4.0,0.0,10.0,5.0,3.6,3.6,0.0,1103.0
4.0,0.0,10.0,4.0,3.6,3.6,0.0,1112.0
4.0,0.0,10.0,3.0,3.6,3.6,0.0,904.0
4.0,0.0,10.0,2.0,3.6,3.6,0.0,960.0
4.0,0.0,10.0,1.0,3.6,3.6,0.0,2773.0
5.0,1.0,8.0,8.0,3.7,3.7,,8471.0
5.0,0.0,8.0,7.0,3.7,3.7,0.0,2896.0
5.0,0.0,8.0,6.0,3.7,3.7,0.0,1440.0
5.0,0.0,8.0,5.0,3.7,3.7,0.0,1056.0
5.0,0.0,8.0,4.0,3.7,3.7,0.0,1033.0
5.0,0.0,8.0,3.0,3.7,3.7,0.0,1103.0
5.0,0.0,8.0,2.0,3.7,3.7,0.0,1112.0
5.0,0.0,8.0,1.0,3.7,3.7,0.0,904.0
6.0,1.0,6.0,6.0,3.3,3.3,,8471.0
6.0,1.0,6.0,5.0,4.3,4.3,1.0,2896.0
6.0,0.0,6.0,4.0,4.3,4.3,0.0,1440.0
6.0,0.0,6.0,3.0,4.3,4.3,0.0,1056.0
6.0,0.0,6.0,2.0,4.3,4.3,0.0,1033.0
6.0,0.0,6.0,1.0,4.3,4.3,0.0,1103.0
7.0,1.0,5.0,5.0,3.4,3.4,,8471.0
7.0,0.0,5.0,4.0,3.4,3.4,0.0,2896.0
7.0,0.0,5.0,3.0,3.4,3.4,0.0,1440.0
7.0,0.0,5.0,2.0,3.4,3.4,0.0,1056.0
7.0,0.0,5.0,1.0,3.4,3.4,0.0,1033.0
8.0,1.0,7.0,7.0,3.1,3.1,,8471.0
8.0,1.0,7.0,6.0,3.1,2.7,-0.4,2896.0
8.0,1.0,7.0,5.0,3.1,2.3,-0.8,1440.0
8.0,0.0,7.0,4.0,3.1,3.1,0.0,1056.0
8.0,1.0,7.0,3.0,3.5,3.5,0.4,1033.0
8.0,0.0,7.0,2.0,3.5,3.5,0.0,1103.0
8.0,0.0,7.0,1.0,3.5,3.5,0.0,1112.0
9.0,1.0,7.0,7.0,4.1,4.1,,8471.0
9.0,0.0,7.0,6.0,4.1,4.1,0.0,2896.0
9.0,0.0,7.0,5.0,4.1,4.1,0.0,1440.0
9.0,0.0,7.0,4.0,4.1,4.1,0.0,1056.0
9.0,0.0,7.0,3.0,4.1,4.1,0.0,1033.0
9.0,0.0,7.0,2.0,4.1,4.1,0.0,1103.0
9.0,0.0,7.0,1.0,4.1,4.1,0.0,1112.0
10.0,1.0,5.0,5.0,2.5,2.5,,8471.0
10.0,1.0,5.0,4.0,2.5,2.5,0.0,2896.0
10.0,1.0,5.0,3.0,2.5,2.2,-0.3,1440.0
10.0,1.0,5.0,2.0,2.9,2.9,0.4,1056.0
10.0,1.0,5.0,1.0,3.5,3.5,0.6,1033.0
11.0,1.0,7.0,7.0,3.5,3.5,,8471.0
11.0,0.0,7.0,6.0,3.5,3.5,0.0,2896.0
11.0,0.0,7.0,5.0,3.5,3.5,0.0,1440.0
11.0,0.0,7.0,4.0,3.5,3.5,0.0,1056.0
11.0,0.0,7.0,3.0,3.5,3.5,0.0,1033.0
11.0,0.0,7.0,2.0,3.5,3.5,0.0,1103.0
11.0,0.0,7.0,1.0,3.5,3.5,0.0,1112.0
12.0,1.0,7.0,7.0,2.8,2.8,,8471.0
12.0,1.0,7.0,6.0,2.8,2.6,-0.2,2896.0
12.0,1.0,7.0,5.0,3.4,3.4,0.6,1440.0
12.0,0.0,7.0,4.0,3.4,3.4,0.0,1056.0
12.0,0.0,7.0,3.0,3.4,3.4,0.0,1033.0
12.0,0.0,7.0,2.0,3.4,3.4,0.0,1103.0
12.0,0.0,7.0,1.0,3.4,3.4,0.0,1112.0
13.0,1.0,7.0,7.0,4.0,4.0,,8471.0
13.0,0.0,7.0,6.0,4.0,4.0,0.0,2896.0
13.0,0.0,7.0,5.0,4.0,4.0,0.0,1440.0
13.0,0.0,7.0,4.0,4.0,4.0,0.0,1056.0
13.0,0.0,7.0,3.0,4.0,4.0,0.0,1033.0
