trial_num,action,totaldays,daysleft,muvalue,reward,gap,RT
1.0,1.0,7.0,7.0,3.2,3.2,,6781.0
1.0,1.0,7.0,6.0,3.4,3.4,0.2,8529.0
1.0,1.0,7.0,5.0,3.4,2.1,-1.3,1935.0
1.0,1.0,7.0,4.0,3.4,2.4,-1.0,3937.0
1.0,1.0,7.0,3.0,3.4,2.9,-0.5,9344.0
1.0,1.0,7.0,2.0,3.8,3.8,0.4,7753.0
1.0,0.0,7.0,1.0,3.8,3.8,0.0,3255.0
2.0,1.0,8.0,8.0,3.2,3.2,,6781.0
2.0,1.0,8.0,7.0,3.2,2.3,-0.9,8529.0
2.0,1.0,8.0,6.0,3.2,2.5,-0.7,1935.0
2.0,1.0,8.0,5.0,3.2,2.3,-0.9,3937.0
2.0,1.0,8.0,4.0,4.1,4.1,0.9,9344.0
2.0,0.0,8.0,3.0,4.1,4.1,0.0,7753.0
2.0,0.0,8.0,2.0,4.1,4.1,0.0,3255.0
2.0,0.0,8.0,1.0,4.1,4.1,0.0,2405.0
3.0,1.0,8.0,8.0,2.3,2.3,,6781.0
3.0,1.0,8.0,7.0,3.1,3.1,0.8,8529.0
3.0,1.0,8.0,6.0,3.1,2.4,-0.7,1935.0
3.0,1.0,8.0,5.0,3.1,2.6,-0.5,3937.0
3.0,1.0,8.0,4.0,3.4,3.4,0.3,9344.0
3.0,1.0,8.0,3.0,3.7,3.7,0.3,7753.0
3.0,0.0,8.0,2.0,3.7,3.7,0.0,3255.0
3.0,0.0,8.0,1.0,3.7,3.7,0.0,2405.0
4.0,1.0,6.0,6.0,3.9,3.9,,6781.0
4.0,0.0,6.0,5.0,3.9,3.9,0.0,8529.0
4.0,0.0,6.0,4.0,3.9,3.9,0.0,1935.0
4.0,0.0,6.0,3.0,3.9,3.9,0.0,3937.0
4.0,0.0,6.0,2.0,3.9,3.9,0.0,9344.0
4.0,0.0,6.0,1.0,3.9,3.9,0.0,7753.0
5.0,1.0,9.0,9.0,2.7,2.7,,6781.0
5.0,1.0,9.0,8.0,3.5,3.5,0.8,8529.0
5.0,1.0,9.0,7.0,3.6,3.6,0.1,1935.0
5.0,1.0,9.0,6.0,3.6,2.5,-1.1,3937.0
5.0,1.0,9.0,5.0,3.6,2.4,-1.2,9344.0
5.0,1.0,9.0,4.0,3.6,2.2,-1.4,7753.0
5.0,0.0,9.0,3.0,3.6,3.6,0.0,3255.0
5.0,0.0,9.0,2.0,3.6,3.6,0.0,2405.0
5.0,0.0,9.0,1.0,3.6,3.6,0.0,1419.0
6.0,1.0,7.0,7.0,2.9,2.9,,6781.0
6.0,1.0,7.0,6.0,3.0,3.0,0.1,8529.0
6.0,1.0,7.0,5.0,3.0,2.9,-0.1,1935.0
6.0,1.0,7.0,4.0,3.0,1.9,-1.1,3937.0
6.0,1.0,7.0,3.0,3.0,2.5,-0.5,9344.0
6.0,1.0,7.0,2.0,3.0,2.6,-0.4,7753.0
6.0,1.0,7.0,1.0,3.0,2.8,-0.2,3255.0
7.0,1.0,6.0,6.0,2.8,2.8,,6781.0
7.0,1.0,6.0,5.0,3.7,3.7,0.9,8529.0
7.0,0.0,6.0,4.0,3.7,3.7,0.0,1935.0
7.0,0.0,6.0,3.0,3.7,3.7,0.0,3937.0
7.0,0.0,6.0,2.0,3.7,3.7,0.0,9344.0
7.0,0.0,6.0,1.0,3.7,3.7,0.0,7753.0
8.0,1.0,6.0,6.0,2.6,2.6,,6781.0
8.0,1.0,6.0,5.0,3.6,3.6,1.0,8529.0
8.0,0.0,6.0,4.0,3.6,3.6,0.0,1935.0
8.0,0.0,6.0,3.0,3.6,3.6,0.0,3937.0
8.0,0.0,6.0,2.0,3.6,3.6,0.0,9344.0
8.0,0.0,6.0,1.0,3.6,3.6,0.0,7753.0
9.0,1.0,8.0,8.0,3.4,3.4,,6781.0
9.0,1.0,8.0,7.0,3.4,2.9,-0.5,8529.0
9.0,1.0,8.0,6.0,3.4,2.9,-0.5,1935.0
9.0,1.0,8.0,5.0,3.4,2.4,-1.0,3937.0
9.0,0.0,8.0,4.0,3.4,3.4,0.0,9344.0
9.0,0.0,8.0,3.0,3.4,3.4,0.0,7753.0
9.0,0.0,8.0,2.0,3.4,3.4,0.0,3255.0
9.0,0.0,8.0,1.0,3.4,3.4,0.0,2405.0
10.0,1.0,9.0,9.0,1.8,1.8,,6781.0
10.0,1.0,9.0,8.0,2.9,2.9,1.1,8529.0
10.0,1.0,9.0,7.0,2.9,2.7,-0.2,1935.0
10.0,1.0,9.0,6.0,3.5,3.5,0.6,3937.0
10.0,1.0,9.0,5.0,3.5,3.5,0.0,9344.0
10.0,0.0,9.0,4.0,3.5,3.5,0.0,7753.0
10.0,0.0,9.0,3.0,3.5,3.5,0.0,3255.0
10.0,0.0,9.0,2.0,3.5,3.5,0.0,2405.0
10.0,0.0,9.0,1.0,3.5,3.5,0.0,1419.0
11.0,1.0,5.0,5.0,3.4,3.4,,6781.0
11.0,0.0,5.0,4.0,3.4,3.4,0.0,8529.0
11.0,0.0,5.0,3.0,3.4,3.4,0.0,1935.0
11.0,0.0,5.0,2.0,3.4,3.4,0.0,3937.0
11.0,0.0,5.0,1.0,3.4,3.4,0.0,9344.0
12.0,1.0,10.0,10.0,3.2,3.2,,6781.0
12.0,1.0,10.0,9.0,3.2,2.7,-0.5,8529.0
12.0,1.0,10.0,8.0,3.2,2.5,-0.7,1935.0
12.0,1.0,10.0,7.0,3.2,2.0,-1.2,3937.0
12.0,1.0,10.0,6.0,3.6,3.6,0.4,9344.0
12.0,0.0,10.0,5.0,3.6,3.6,0.0,7753.0
12.0,0.0,10.0,4.0,3.6,3.6,0.0,3255.0
12.0,0.0,10.0,3.0,3.6,3.6,0.0,2405.0
12.0,0.0,10.0,2.0,3.6,3.6,0.0,1419.0
12.0,0.0,10.0,1.0,3.6,3.6,0.0,1422.0
13.0,1.0,9.0,9.0,3.2,3.2,,6781.0
13.0,1.0,9.0,8.0,3.2,2.9,-0.3,8529.0
13.0,1.0,9.0,7.0,3.2,3.2,0.0,1935.0
13.0,1.0,9.0,6.0,3.4,3.4,0.2,3937.0
13.0,1.0,9.0,5.0,3.4,3.4,0.0,9344.0
13.0,0.0,9.0,4.0,3.4,3.4,0.0,7753.0
13.0,0.0,9.0,3.0,3.4,3.4,0.0,3255.0
13.0,0.0,9.0,2.0,3.4,3.4,0.0,2405.0
13.0,0.0,9.0,1.0,3.4,3.4,0.0,1419.0
14.0,1.0,6.0,6.0,4.1,4.1,,6781.0
14.0,0.0,6.0,5.0,4.1,4.1,0.0,8529.0
14.0,0.0,6.0,4.0,4.1,4.1,0.0,1935.0
14.0,0.0,6.0,3.0,4.1,4.1,0.0,3937.0
14.0,0.0,6.0,2.0,4.1,4.1,0.0,9344.0
14.0,0.0,6.0,1.0,4.1,4.1,0.0,7753.0
15.0,1.0,5.0,5.0,3.1,3.1,,6781.0
15.0,1.0,5.0,4.0,3.1,2.8,-0.3,8529.0
