trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,10,1,6950,1,-2.1,-2.1,-2.1,0.0,-2.1,0.0,0.0,0,,
1,10,2,2519,1,-2.7,-2.1,-2.4000000000000004,0.30000000000000004,-2.4000000000000004,0.30000000000000004,0.0,0,-0.6,0.6
1,10,3,4336,1,-3.1,-2.1,-2.6333333333333333,0.4109609335312651,-2.6333333333333333,0.4109609335312651,0.0,0,-1.0,1.0
1,10,4,4168,1,-3.9,-2.1,-2.95,0.6538348415311009,-2.95,0.6538348415311009,0.0,0,-1.8,1.8
1,10,5,5538,0,-2.1,-2.1,-2.7800000000000002,0.6764613810115104,-2.95,0.6538348415311009,0.0,0,0.0,0.0
1,10,6,2175,1,-3.1,-2.1,-2.833333333333334,0.6289320754704402,-2.975,0.6446898479113813,0.0,0,-1.0,1.0
1,10,7,2055,1,-1.8,-1.8,-2.6857142857142864,0.6854166020511517,-2.8071428571428574,0.6960896611260152,0.0,0,0.3,0.3
1,10,8,2663,1,-2.6,-1.8,-2.6750000000000007,0.6417748826496718,-2.7812500000000004,0.6505106167465678,0.0,0,-0.8,0.8
1,10,9,2914,1,-2.7,-1.8,-2.6777777777777785,0.6051221690751156,-2.7722222222222226,0.6124480325648802,0.0,0,-0.9,0.9
1,10,10,1783,1,-3.5,-1.8,-2.7600000000000007,0.6248199740725323,-2.845,0.6305751343020116,0.0,0,-1.7,1.7
2,6,1,2774,1,-2.6,-2.6,-2.6,0.0,-2.6,0.0,-2.845,0,,
2,6,2,2536,1,-3.3,-2.6,-2.95,0.613052471924984,-2.95,0.613052471924984,-2.845,0,-0.7,0.7
2,6,3,3512,0,-2.6,-2.6,-2.8333333333333335,0.5740841833500114,-2.95,0.613052471924984,-2.845,0,0.0,0.0
2,6,4,1896,1,-2.9,-2.6,-2.85,0.5551705014806584,-2.9375000000000004,0.5719445215353371,-2.845,0,-0.3,0.3
2,6,5,1827,1,-3.0,-2.6,-2.88,0.541356321350981,-2.95,0.5560275772537426,-2.845,0,-0.4,0.4
2,6,6,2317,1,-3.7,-2.6,-3.016666666666666,0.5847601597616277,-3.0749999999999997,0.6033759193073583,-2.845,0,-1.1,1.1
3,10,1,2273,1,-3.8,-3.8,-3.8,0.0,-3.8,0.0,-3.0749999999999997,0,,
3,10,2,2854,1,-2.7,-2.7,-3.25,0.6726812023536854,-3.25,0.6726812023536854,-3.0749999999999997,1,1.1,1.1
3,10,3,1696,1,-3.6,-2.7,-3.3666666666666667,0.7223661574970659,-3.3666666666666667,0.7223661574970659,-3.0749999999999997,1,-0.9,0.9
3,10,4,3007,0,-2.7,-2.7,-3.2,0.6312685640834652,-3.3666666666666667,0.7223661574970659,-3.0749999999999997,1,0.0,0.0
3,10,5,5411,1,-3.5,-2.7,-3.2600000000000002,0.6458512286307193,-3.3933333333333335,0.718980760057829,-3.0749999999999997,1,-0.8,0.8
3,10,6,2766,0,-2.7,-2.7,-3.1666666666666665,0.6013032983159633,-3.3933333333333335,0.718980760057829,-3.0749999999999997,1,0.0,0.0
3,10,7,5322,1,-3.2,-2.7,-3.1714285714285713,0.5898806520589307,-3.3657142857142857,0.6862231548691837,-3.0749999999999997,1,-0.5,0.5
3,10,8,2038,1,-1.7000000000000002,-1.7000000000000002,-2.9875,0.5980436856952842,-3.1574999999999998,0.6452179864200934,-3.0749999999999997,1,1.0,1.0
3,10,9,2095,0,-1.7000000000000002,-1.7000000000000002,-2.844444444444444,0.6255821979722194,-3.1574999999999998,0.6452179864200934,-3.0749999999999997,0,0.0,0.0
3,10,10,1456,0,-1.7000000000000002,-1.7000000000000002,-2.7299999999999995,0.6567811952709505,-3.1574999999999998,0.6452179864200934,-3.0749999999999997,0,0.0,0.0
4,5,1,2325,1,-2.9,-2.9,-2.9,0.0,-2.9,0.0,-3.1574999999999998,0,,
4,5,2,1873,1,-1.9,-1.9,-2.4,0.7530888773198402,-2.4,0.7530888773198402,-3.1574999999999998,0,1.0,1.0
4,5,3,1895,1,-3.8,-1.9,-2.8666666666666667,0.6683885808563437,-2.8666666666666667,0.6683885808563437,-3.1574999999999998,0,-1.9,1.9
4,5,4,1936,0,-1.9,-1.9,-2.625,0.6936317466783076,-2.8666666666666667,0.6683885808563437,-3.1574999999999998,0,0.0,0.0
4,5,5,1154,0,-1.9,-1.9,-2.48,0.7356892752225082,-2.8666666666666667,0.6683885808563437,-3.1574999999999998,0,0.0,0.0
5,5,1,2434,1,-3.6,-3.6,-3.6,0.0,-3.6,0.0,-2.8666666666666667,0,,
5,5,2,1818,1,-3.5,-3.5,-3.55,1.015672638742872,-3.55,1.015672638742872,-2.8666666666666667,1,0.1,0.1
