trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,8,1,5200,1,-1.9,-1.9,-1.9,0.0,-1.9,0.0,0.0,0,,
1,8,2,7982,1,-2.6,-1.9,-2.25,0.3500000000000001,-2.25,0.3500000000000001,0.0,0,-0.7,0.7
1,8,3,3224,1,-3.3,-1.9,-2.6,0.5715476066494082,-2.6,0.5715476066494082,0.0,0,-1.4,1.4
1,8,4,2471,1,-3.0,-1.9,-2.7,0.5244044240850757,-2.7,0.5244044240850757,0.0,0,-1.1,1.1
1,8,5,5383,1,-3.8,-1.9,-2.9200000000000004,0.643117407632541,-2.9200000000000004,0.643117407632541,0.0,0,-1.9,1.9
1,8,6,1808,0,-1.9,-1.9,-2.75,0.6994045086119095,-2.9200000000000004,0.643117407632541,0.0,0,0.0,0.0
1,8,7,1736,0,-1.9,-1.9,-2.6285714285714286,0.7125693664765672,-2.9200000000000004,0.643117407632541,0.0,0,0.0,0.0
1,8,8,1209,0,-1.9,-1.9,-2.5374999999999996,0.7087621251167419,-2.9200000000000004,0.643117407632541,0.0,0,0.0,0.0
2,8,1,2373,1,-3.6,-3.6,-3.6,0.0,-3.6,0.0,-2.9200000000000004,0,,
2,8,2,2080,1,-2.2,-2.2,-2.9000000000000004,0.7778174593052024,-2.9000000000000004,0.7778174593052024,-2.9200000000000004,1,1.4,1.4
2,8,3,1832,1,-2.5,-2.2,-2.766666666666667,0.7087476506650533,-2.766666666666667,0.7087476506650533,-2.9200000000000004,0,-0.3,0.3
2,8,4,1703,1,-2.1,-2.1,-2.6,0.6751543033509698,-2.6,0.6751543033509698,-2.9200000000000004,0,0.1,0.1
2,8,5,2720,1,-2.5,-2.1,-2.58,0.6481452828589496,-2.58,0.6481452828589496,-2.9200000000000004,0,-0.4,0.4
2,8,6,1688,0,-2.1,-2.1,-2.5,0.635272719838833,-2.58,0.6481452828589496,-2.9200000000000004,0,0.0,0.0
2,8,7,1048,0,-2.1,-2.1,-2.442857142857143,0.6243690692962596,-2.58,0.6481452828589496,-2.9200000000000004,0,0.0,0.0
2,8,8,937,0,-2.1,-2.1,-2.4000000000000004,0.6139014578904337,-2.58,0.6481452828589496,-2.9200000000000004,0,0.0,0.0
3,9,1,2366,1,-3.2,-3.2,-3.2,0.0,-3.2,0.0,-2.58,0,,
3,9,2,1992,1,-2.7,-2.7,-2.95,0.7372998786864889,-2.95,0.7372998786864889,-2.58,1,0.5,0.5
3,9,3,1480,1,-3.7,-2.7,-3.2000000000000006,0.8888194417315592,-3.2000000000000006,0.8888194417315592,-2.58,0,-1.0,1.0
