trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,8,1,8747,1,-2.9,-2.9,-2.9,0.0,-2.9,0.0,0.0,0,,
1,8,2,23055,1,-3.0,-2.9,-2.95,0.050000000000000044,-2.95,0.050000000000000044,0.0,0,-0.1,0.1
1,8,3,5752,1,-2.9,-2.9,-2.9333333333333336,0.047140452079103216,-2.9333333333333336,0.047140452079103216,0.0,0,0.0,0.0
1,8,4,6655,1,-2.8,-2.8,-2.9000000000000004,0.07071067811865482,-2.9000000000000004,0.07071067811865482,0.0,0,0.1,0.1
1,8,5,12017,1,-2.6,-2.6,-2.8400000000000003,0.13564659966250533,-2.8400000000000003,0.13564659966250533,0.0,0,0.2,0.2
1,8,6,11490,1,-2.6,-2.6,-2.8000000000000003,0.1527525231651946,-2.8000000000000003,0.1527525231651946,0.0,0,0.0,0.0
1,8,7,4085,0,-2.6,-2.6,-2.771428571428572,0.15779087167410366,-2.8000000000000003,0.1527525231651946,0.0,0,0.0,0.0
1,8,8,1710,0,-2.6,-2.6,-2.7500000000000004,0.15811388300841892,-2.8000000000000003,0.1527525231651946,0.0,0,0.0,0.0
2,6,1,2372,1,-2.8,-2.8,-2.8,0.0,-2.8,0.0,-2.8000000000000003,0,,
2,6,2,3984,1,-2.6,-2.6,-2.7,0.15491933384829654,-2.7,0.15491933384829654,-2.8000000000000003,0,0.2,0.2
2,6,3,2603,1,-2.1,-2.1,-2.5,0.29541957835039845,-2.5,0.29541957835039845,-2.8000000000000003,0,0.5,0.5
2,6,4,6948,0,-2.1,-2.1,-2.4,0.36055512754639896,-2.5,0.29541957835039845,-2.8000000000000003,0,0.0,0.0
2,6,5,1353,0,-2.1,-2.1,-2.34,0.39191835884530857,-2.5,0.29541957835039845,-2.8000000000000003,0,0.0,0.0
2,6,6,1208,0,-2.1,-2.1,-2.3,0.40708019567928605,-2.5,0.29541957835039845,-2.8000000000000003,0,0.0,0.0
3,10,1,1670,1,-2.8,-2.8,-2.8,0.0,-2.8,0.0,-2.5,0,,
3,10,2,1775,1,-3.6,-2.8,-3.2,0.6846531968814578,-3.2,0.6846531968814578,-2.5,0,-0.8,0.8
3,10,3,1800,1,-3.4,-2.8,-3.266666666666667,0.7190225754816659,-3.266666666666667,0.7190225754816659,-2.5,1,-0.6,0.6
3,10,4,1864,1,-2.9,-2.8,-3.1750000000000003,0.6318513362422457,-3.1750000000000003,0.6318513362422457,-2.5,1,-0.1,0.1
3,10,5,1552,1,-3.2,-2.8,-3.1800000000000006,0.6187253450696678,-3.1800000000000006,0.6187253450696678,-2.5,1,-0.4,0.4
3,10,6,4352,1,-2.9,-2.8,-3.1333333333333333,0.5725188012439222,-3.1333333333333333,0.5725188012439222,-2.5,1,-0.1,0.1
3,10,7,3920,1,-2.6,-2.6,-3.0571428571428574,0.5187635745293837,-3.0571428571428574,0.5187635745293837,-2.5,1,0.2,0.2
3,10,8,5200,1,-3.0,-2.6,-3.0500000000000003,0.5024937810560447,-3.0500000000000003,0.5024937810560447,-2.5,1,-0.4,0.4
3,10,9,5633,1,-3.3,-2.6,-3.077777777777778,0.5109535568967315,-3.077777777777778,0.5109535568967315,-2.5,1,-0.7,0.7
3,10,10,3416,0,-2.6,-2.6,-3.0300000000000002,0.480693942822943,-3.077777777777778,0.5109535568967315,-2.5,1,0.0,0.0
4,5,1,1847,1,-4.2,-4.2,-4.2,0.0,-4.2,0.0,-3.077777777777778,0,,
4,5,2,1935,1,-2.8,-2.8,-3.5,0.8332051183416779,-3.5,0.8332051183416779,-3.077777777777778,1,1.4,1.4
4,5,3,4368,1,-2.1,-2.1,-3.033333333333333,0.5401188712327392,-3.033333333333333,0.5401188712327392,-3.077777777777778,1,0.7,0.7
4,5,4,2096,0,-2.1,-2.1,-2.8,0.4895333054480125,-3.033333333333333,0.5401188712327392,-3.077777777777778,1,0.0,0.0
4,5,5,1223,0,-2.1,-2.1,-2.6599999999999997,0.5004963054050828,-3.033333333333333,0.5401188712327392,-3.077777777777778,0,0.0,0.0
5,6,1,1494,1,-2.6,-2.6,-2.6,0.0,-2.6,0.0,-3.033333333333333,0,,
5,6,2,1705,1,-3.2,-2.6,-2.9000000000000004,0.5089521176540247,-2.9000000000000004,0.5089521176540247,-3.033333333333333,0,-0.6,0.6
5,6,3,1527,1,-2.9,-2.6,-2.9000000000000004,0.500936622737847,-2.9000000000000004,0.500936622737847,-3.033333333333333,0,-0.3,0.3
5,6,4,2873,1,-2.0,-2.0,-2.6750000000000003,0.49207738366556886,-2.6750000000000003,0.49207738366556886,-3.033333333333333,0,0.6,0.6
5,6,5,1680,0,-2.0,-2.0,-2.54,0.5251442378892064,-2.6750000000000003,0.49207738366556886,-3.033333333333333,0,0.0,0.0
5,6,6,1575,0,-2.0,-2.0,-2.4499999999999997,0.557737777608285,-2.6750000000000003,0.49207738366556886,-3.033333333333333,0,0.0,0.0
