trial_num,action,totaldays,daysleft,last_reward,muvalue,avereward,avereward_exploration,RT,stochasticity,stochasticity_exploration,gap,abs_gap,last_trial_average_reward,impulse
1.0,1.0,8.0,7.0,3.2,3.2,3.2,3.2,7306.0,0.0,0.0,,,0.0,0.0
1.0,1.0,8.0,6.0,3.9,3.9,3.55,3.55,12552.0,0.34999999999999987,0.34999999999999987,0.7,0.7,0.0,0.0
1.0,1.0,8.0,5.0,2.6,3.9,3.233333333333333,3.233333333333333,2222.0,0.5312459150169742,0.5312459150169742,-1.3,1.3,0.0,0.0
1.0,1.0,8.0,4.0,2.8,3.9,3.125,3.125,1392.0,0.4968651728587947,0.4968651728587947,-1.1,1.1,0.0,0.0
1.0,1.0,8.0,3.0,3.1,3.9,3.12,3.12,1384.0,0.44452221541785736,0.44452221541785736,-0.8,0.8,0.0,0.0
1.0,1.0,8.0,2.0,3.9,3.9,3.25,3.25,2232.0,0.49916597106239785,0.49916597106239785,0.0,0.0,0.0,0.0
1.0,0.0,8.0,1.0,2.5,3.9,3.142857142857143,3.142857142857143,2305.0,0.5314592925068078,0.5314592925068078,-1.4,1.4,0.0,0.0
2.0,1.0,8.0,7.0,3.4,3.4,3.4,3.4,1527.0,0.0,0.0,,,3.142857142857143,0.0
2.0,1.0,8.0,6.0,2.9,3.4,3.15,3.15,1280.0,0.5162363799656122,0.5162363799656122,-0.5,0.5,3.142857142857143,0.0
2.0,1.0,8.0,5.0,3.0,3.4,3.1,3.1,1047.0,0.5018148879997302,0.5018148879997302,-0.4,0.4,3.142857142857143,0.0
2.0,1.0,8.0,4.0,2.5,3.4,2.95,2.95,1098.0,0.5439056290693572,0.5439056290693572,-0.9,0.9,3.142857142857143,0.0
2.0,1.0,8.0,3.0,3.2,3.4,3.0,3.0,1239.0,0.510655687101623,0.510655687101623,-0.2,0.2,3.142857142857143,1.0
2.0,1.0,8.0,2.0,3.7,3.7,3.1166666666666667,3.1166666666666667,1720.0,0.49741394725181853,0.49741394725181853,0.3,0.3,3.142857142857143,1.0
2.0,0.0,8.0,1.0,2.8,3.7,3.0714285714285716,3.0714285714285716,2104.0,0.49353645386386297,0.49353645386386297,-0.9,0.9,3.142857142857143,0.0
3.0,1.0,9.0,8.0,2.8,2.8,2.8,2.8,1410.0,0.0,0.0,,,3.0714285714285716,0.0
