trial_num,trial_length,click_num,RT,action,reward,highest_reward,average_reward,stochasticity,average_reward_exploration,stochasticity_exploration,last_trial_average_reward,impulse,gap,abs_gap
1,6,1,5399,1,-3.0,-3.0,-3.0,0.0,-3.0,0.0,0.0,0,,
1,6,2,4965,1,-2.9,-2.9,-2.95,0.050000000000000044,-2.95,0.050000000000000044,0.0,1,0.1,0.1
1,6,3,4960,1,-4.0,-2.9,-3.3000000000000003,0.496655480858378,-3.3000000000000003,0.496655480858378,0.0,0,-1.1,1.1
1,6,4,8008,1,-2.6,-2.6,-3.125,0.5261891294962296,-3.125,0.5261891294962296,0.0,1,0.3,0.3
1,6,5,6152,1,-3.3,-2.6,-3.16,0.47581509013481277,-3.16,0.47581509013481277,0.0,1,-0.7,0.7
1,6,6,3905,1,-2.8,-2.6,-3.1,0.4546060565661952,-3.1,0.4546060565661952,0.0,1,-0.2,0.2
2,10,1,3725,1,-3.3,-3.3,-3.3,0.0,-3.3,0.0,-3.1,0,,
2,10,2,2184,1,-2.8,-2.8,-3.05,0.4153311931459037,-3.05,0.4153311931459037,-3.1,1,0.5,0.5
2,10,3,1895,1,-3.8,-2.8,-3.2999999999999994,0.4690415759823428,-3.2999999999999994,0.4690415759823428,-3.1,1,-1.0,1.0
2,10,4,1969,1,-2.3,-2.3,-3.05,0.500499750249688,-3.05,0.500499750249688,-3.1,1,0.5,0.5
2,10,5,2128,0,-2.3,-2.3,-2.9,0.5376717484589544,-3.05,0.500499750249688,-3.1,1,0.0,0.0
2,10,6,18505,1,-2.5,-2.3,-2.8333333333333335,0.5400617248673216,-2.9583333333333335,0.5234102915814068,-3.1,0,-0.2,0.2
2,10,7,2823,0,-2.3,-2.3,-2.757142857142857,0.5562545750610013,-2.9583333333333335,0.5234102915814068,-3.1,0,0.0,0.0
2,10,8,2568,0,-2.3,-2.3,-2.7,0.5644213218610974,-2.9583333333333335,0.5234102915814068,-3.1,0,0.0,0.0
2,10,9,2583,0,-2.3,-2.3,-2.655555555555556,0.5672981231185479,-2.9583333333333335,0.5234102915814068,-3.1,0,0.0,0.0
2,10,10,2208,0,-2.3,-2.3,-2.62,0.5667009793533093,-2.9583333333333335,0.5234102915814068,-3.1,0,0.0,0.0
3,5,1,3188,1,-3.8,-3.8,-3.8,0.0,-3.8,0.0,-2.9583333333333335,0,,
3,5,2,4513,1,-2.2,-2.2,-3.0,0.6027713773341709,-3.0,0.6027713773341709,-2.9583333333333335,1,1.6,1.6
